Conversion ID,Advertiser,Status,Conversion Time,Estimate M1 Cashback Value
620985fdfa4c49f191f5f888e16d1913-1,Shopee Singapore,Pending,8/6/2024 16:18,59.697
a891c77dc8f24909bffb10f77615fdd3-1,Shopee Singapore,Pending,8/6/2024 13:52,0.954
45131d9cdd854b53aeaae963e52ccc31-1,Shopee Singapore,Pending,8/6/2024 10:40,3.681
843d12e037064f3983f11b738bb23b89-1,Shopee Singapore,Pending,8/6/2024 10:40,3.69
aebb5bb7e9c84c77ad78cef48c4295ec-1,Shopee Singapore,Pending,8/6/2024 10:40,4.149
6e762b22a5944596be0ed13a6fbcb82f-1,Shopee Singapore,Pending,8/6/2024 10:40,4.158
d2a16a3e9ebf4cd4b98bbdc5807226f4-1,Shopee Singapore,Pending,8/6/2024 0:58,14.904
9db4ecbfee7145478150934f5b8e91f7-1,Shopee Singapore,Pending,7/6/2024 20:37,11.584
e8613ac39eae46f489078eff25f19225-1,Shopee Singapore,Pending,7/6/2024 20:37,5.824
9322d9d9d3234693badc6e6f1ece363e-1,Shopee Singapore,Pending,7/6/2024 15:55,6.264
3f985bae72014fab834694b9691afd57-1,Shopee Singapore,Pending,7/6/2024 11:57,54.272
7f526b73a9014fd1be192a6bb90b77fd-1,Shopee Singapore,Pending,7/6/2024 11:57,7.092
7129d9bd9fdf49e3917240f86a5b2f26-1,Shopee Singapore,Pending,7/6/2024 11:57,15.669
adf138678d3b470a83ae89b5389f313f,Shopee Singapore,Pending,7/6/2024 11:47,15.012
35f0f2804f404b6084b39241b53c2c86-1,Shopee Singapore,Pending,7/6/2024 11:47,2.8
6d903e5c621c4c2997b7c24b229927ec-1,Shopee Singapore,Pending,7/6/2024 11:47,2.916
31ae07e55a2a493c828dde43b6f71647-1,Shopee Singapore,Pending,7/6/2024 11:47,11.925
717304b2e6f04bbfad167dbb51866304-1,Shopee Singapore,Pending,7/6/2024 7:36,11.549
cb961f1cd1d945a596261eb93fd2ba34-1,Shopee Singapore,Pending,7/6/2024 7:36,21.636
7700c6f9580f4f57a21e5a8ce8bf4474-1,Shopee Singapore,Pending,7/6/2024 1:03,18.72
2c99394193904ca1846edf11d2822368-1,Shopee Singapore,Pending,7/6/2024 1:03,26.181
bfd81b90b8f14426898f5f53d553d43f-1,Shopee Singapore,Pending,7/6/2024 1:03,1.638
56b71f6e1a464d808926f74e7861b665-1,Shopee Singapore,Pending,6/6/2024 23:25,8.91
56d6020455c04fd5980b9db328195924-1,Shopee Singapore,Pending,6/6/2024 23:25,8.847
47f5c8a2e8fb4fb485a9b0f6fcc0dd81-1,Shopee Singapore,Pending,6/6/2024 23:25,10.773
c9b9ceeddff84f49b5daf0ce1058dba2-1,Shopee Singapore,Pending,6/6/2024 23:25,10.485
1afa50c9301745a897f7e4c68307c1db-1,Shopee Singapore,Pending,6/6/2024 23:25,9.936
3240feadae144e4f80e66b07780837b0-1,Shopee Singapore,Pending,6/6/2024 21:44,26.592
cfb8c533b7a641c1815af8b815bfd224-1,Shopee Singapore,Pending,6/6/2024 21:42,73.818
b22b5f328556498e94687e436d1af3b0-1,Shopee Singapore,Pending,6/6/2024 19:04,6.016
9f920a51bb9d41c88b8aab49fd7ee435-1,Shopee Singapore,Pending,6/6/2024 19:04,1.062
5c71bc47adfd4babb108f943c3ad85ba-1,Shopee Singapore,Pending,6/6/2024 19:04,1.044
3d714cbdf99047f48b51853d12f77f34-1,Shopee Singapore,Pending,6/6/2024 18:09,5.31
6cf65704464f46b2bea3511ca69e2a2a-1,Shopee Singapore,Pending,6/6/2024 18:09,2.646
138289b92f1c453c858391258b15e661-1,Shopee Singapore,Pending,6/6/2024 12:41,13.392
8dfc830818f34d5a9bf17b438324ecf3-1,Shopee Singapore,Pending,6/6/2024 12:32,8.019
69c03371097a4bdfa1467fc0df7e5263-1,Shopee Singapore,Pending,6/6/2024 12:32,29.385
df9e8c07dcfb4fcc9fc6e86bcb8935ae-1,Shopee Singapore,Pending,6/6/2024 12:32,16.317
0361cb5a2e7a492eb74c16f90173795f-1,Shopee Singapore,Pending,6/6/2024 12:32,8.442
b87710c9e8684e758e1d1f2083f8dc23-1,Shopee Singapore,Pending,6/6/2024 12:32,48.798
f59689ededd24e9aaa20c2d8d01b5ba1-1,Shopee Singapore,Pending,6/6/2024 12:32,26.964
940747c19610463e88fa265bffdc46d0-1,Shopee Singapore,Pending,6/6/2024 12:11,4.257
047f202252134edebb7a86e241de4ac0-1,Shopee Singapore,Pending,6/6/2024 9:45,36.891
bb7c517b23b44d9ba1f08df5954ba491-1,Shopee Singapore,Pending,6/6/2024 2:51,5.76
dbcaef5317f54adfb533b976202a13ba-1,Shopee Singapore,Pending,6/6/2024 2:03,1.566
76aa8fb6ce2a4dcca75d3a86e47edefb-1,Shopee Singapore,Pending,6/6/2024 2:03,0.801
07e360194f964f2498fb9651104b0d12-1,Shopee Singapore,Pending,6/6/2024 2:03,5.436
c795d0b59d47441ebab291a2a9a211c2-1,Shopee Singapore,Pending,6/6/2024 2:03,2.32
e2f4c1ddb7984faeb747e5043a8e2218-1,Shopee Singapore,Pending,6/6/2024 2:03,1.998
08175992391c4662bef306aaca50d877-1,Shopee Singapore,Pending,6/6/2024 2:03,3.006
21aee969562d4caa8fee7c7aa26b12db-1,Shopee Singapore,Pending,6/6/2024 2:03,1.836
7bbbf21644864a6ab68d2c8f2d28ece3-1,Shopee Singapore,Pending,6/6/2024 2:03,0.918
099d83da6b374fdca4bdf0416e5dc4cb-1,Shopee Singapore,Pending,6/6/2024 2:03,1.332
c248edf2d30e44d583d530a7e48f3c18-1,Shopee Singapore,Pending,6/6/2024 2:03,1.251
10cfda08d5df48028244b8573ab24d2f-1,Shopee Singapore,Pending,6/6/2024 2:03,2.268
7fe1c325abdd4f0d9746a8cb3df67fb1-1,Shopee Singapore,Pending,6/6/2024 0:59,6.822
77604619f7fc4c7bb214411e2b72adef-1,Shopee Singapore,Pending,6/6/2024 0:59,2.25
a9df2468f2a94e508fe53f6096a2a14d-1,Shopee Singapore,Pending,6/6/2024 0:59,10.935
4090e15792e448afb9db6608bfecfc14-1,Shopee Singapore,Pending,6/6/2024 0:36,55.116
2e8c9ea5ff714d9592812661a6d773a6-1,Shopee Singapore,Pending,6/6/2024 0:29,13.176
3aa01d3ff9414d6395cf31346f32be4d-1,Shopee Singapore,Pending,6/6/2024 0:29,4.95
e2f93e4553fc4ab0bad680a7c5facd2a-1,Shopee Singapore,Pending,5/6/2024 23:44,3.285
39aca06cf5974ad2aaad0b3146d44773-1,Shopee Singapore,Pending,5/6/2024 23:44,0.855
2bf160b249d84f708b6e56524c47be45-1,Shopee Singapore,Pending,5/6/2024 23:44,2.556
72ee55acb6be4519ab731b23094107e8-1,Shopee Singapore,Pending,5/6/2024 23:44,0.846
4487ab41a5534b14b5e55b161fa9fe91-1,Shopee Singapore,Pending,5/6/2024 23:44,3.285
2b71497f3c2040748745b460954c1b20-1,Shopee Singapore,Pending,5/6/2024 23:44,24.705
6009b99e9fb04c149546d248cc6f9561-1,Shopee Singapore,Pending,5/6/2024 23:44,0.9
2090edda6baf4a30ba8c405c1e11b5d6-1,Shopee Singapore,Pending,5/6/2024 23:44,2.385
bb02ff94a2a94a74838842faa43048a4-1,Shopee Singapore,Pending,5/6/2024 23:44,3.618
561ccf2bb4234a74aa97213e785c8507-1,Shopee SG,Pending,5/6/2024 23:44,0.033
c8cf3667d1f946989bc9dd5268c1a461-1,Shopee SG,Pending,5/6/2024 23:44,0.009
3e2aa98a3a1e4d4bb0fb5ed493164345-1,Shopee SG,Pending,5/6/2024 23:44,0.026
04fba4f1fa0d4db9a702324623dd2e9b-1,Shopee SG,Pending,5/6/2024 23:44,0.008
8987478009a74ed1aa8f23125cd374bf-1,Shopee SG,Pending,5/6/2024 23:44,0.033
301ea7173be340e4b4af9b126d3195d5-1,Shopee SG,Pending,5/6/2024 23:44,0.247
0bcbb13f63d4444984e1913393cb8044-1,Shopee SG,Pending,5/6/2024 23:44,0.009
ddc3e2a69a3e461db6f4892902e7661d-1,Shopee SG,Pending,5/6/2024 23:44,0.024
be44839b2bf94ad2bf93c3806880b4ab-1,Shopee SG,Pending,5/6/2024 23:44,0.036
baca3d2b57cc4074abea0b944032c739-1,Shopee SG,Pending,5/6/2024 20:04,0.188
200448d1ec284e12b8d74e3e551148be-1,Shopee SG,Pending,5/6/2024 20:04,0.098
d6404cbd828a4b2985e10753ad789c1c-1,Shopee SG,Pending,5/6/2024 20:04,0.145
f05103ccbee64a4eb1c98a579a94a8a6-1,Shopee SG,Pending,5/6/2024 20:04,0.051
ff2ee588dda048d7a60c4500fe2255ef-1,Shopee SG,Pending,5/6/2024 19:04,0.157
08b292e5fe384af6913c625143727492-1,Shopee SG,Pending,5/6/2024 19:04,0.178
7df9f029acfb4625ac002178866924cb-1,Shopee SG,Pending,5/6/2024 9:50,1.485
a277a616de044f29b91ceb2e2579ce70-1,Shopee SG,Pending,5/6/2024 9:50,0.682
070f408e386542fcbee1dc667b169ed3-1,Shopee SG,Pending,5/6/2024 9:50,0.406
a1a47f44c27147f59080a0dfff3ba774-1,Shopee SG,Pending,5/6/2024 8:53,0.062
740f0f29c9a44a6987cdec6c00abe920-1,Trip.com,Pending,5/6/2024 6:09,26.543
4fd06ff7b7b4469dad30ba27ac226b46-1,Shopee SG,Pending,4/6/2024 22:33,0.108
a2ee6143dfa444e8b36d4ef1f66fa094-1,Shopee SG,Pending,4/6/2024 22:33,0.108
2dcf95d87da1460e89e5ea14e5a4122c-1,Shopee SG,Pending,4/6/2024 22:33,0.108
39a5d18718374c30ba2dd5979c1c8a4a-1,Trip.com,Pending,4/6/2024 22:17,18.771
8e745b2cca3f4b1693f4d68ee6f20405-1,Trip.com,Pending,4/6/2024 8:47,0.288
9579b571b7504993ac0a5af25e3fba99-1,Shopee SG,Pending,3/6/2024 20:57,0.241
b4afc3f0ce2c4d56b00b2752be719c7d-1,Shopee SG,Pending,3/6/2024 20:57,0.16
cdddfe569bc44907b3b47ab77fcb3703,Shopee SG,Pending,3/6/2024 19:31,0.925
787d109ad1ce4d8f9b1fa96ba7ed21da,Shopee SG,Pending,3/6/2024 19:31,0.363
7c3cce70f683414db096e65c773484f0-1,Shopee SG,Pending,3/6/2024 19:31,0.393
647c32f4a8604fb3bf1fcdfc3bb679fb-1,Shopee SG,Pending,3/6/2024 14:57,1.744
0641d4ebdd3047668cec3ffabfa90ddf-1,Shopee SG,Pending,3/6/2024 14:57,0.174
3210879c21b345f0a287c8eb308dc143-1,Shopee SG,Pending,3/6/2024 14:57,0.157
1eb09f0f8e034730acaa1e6cc59c8fe8-1,Shopee SG,Pending,3/6/2024 14:04,0.155
eab36eca187d440c892c29924cf5f6a7-1,Shopee SG,Pending,3/6/2024 14:04,1.106
88489666249248e48d4c812126145fb5-1,Shopee SG,Pending,3/6/2024 14:04,0.093
d14ccaf67f084ee7aec0f7f58bc05955-1,Shopee SG,Pending,3/6/2024 13:39,0.096
e4d90d91547144adae3fbcd995830663,Shopee SG,Pending,3/6/2024 13:39,0.061
ffcc9099280b4916b68204838065123c,Shopee SG,Pending,3/6/2024 13:39,0.061
8933dd54895b42dc82fc44458e404636,Shopee SG,Pending,3/6/2024 13:39,0.034
bbae65ccd5b348e7bddd44d1ae269266-1,Shopee SG,Pending,3/6/2024 13:39,0.041
f8039aeacdb24c0aab882d4a53dbabb5-1,Shopee SG,Pending,3/6/2024 12:09,0.167
ded23ead3ecc4cd79966cf6959d661b3-1,Shopee SG,Pending,3/6/2024 12:05,0.174
6bf7dcdb01a54606979aec68f7982aad-1,Shopee SG,Pending,3/6/2024 12:05,0.174
1aef83bb8d304b9faf0bbeb8a9e425dd-1,Shopee SG,Pending,3/6/2024 8:48,0.223
7a330586783b40c2a08f0c3e47281da9-1,Shopee SG,Pending,3/6/2024 8:48,0.147
feab3f64196e4354b5b002781bed35d9-1,Shopee SG,Pending,3/6/2024 8:48,0.279
8667bc918ddf48bfa3ad0c381afc17bf-1,Shopee SG,Pending,2/6/2024 22:57,0.264
c4b565ea386c438a84a1d689fc377ae0-1,Shopee SG,Pending,2/6/2024 22:33,0.065
bac5d3bfb9a4473c96076b4d095c990a-1,Shopee SG,Pending,2/6/2024 22:22,0.496
94ce952a413442cb89caa06c550ae5f5-1,Shopee SG,Pending,2/6/2024 21:36,0.224
6d927964bf0c4cbeaa245c9166d39098-1,Shopee SG,Pending,2/6/2024 20:25,0.637
62fb7d8a87da42589f35b8d09b948f7b-1,Shopee SG,Pending,2/6/2024 20:25,1.42
addf734966de4a868adcd6675611bbaa-1,Shopee SG,Pending,2/6/2024 20:25,0.168
9a2c6579577448a895683ea82e1998a0,Shopee SG,Pending,2/6/2024 20:25,0.248
5a4cda17b82047038cc40d523ea1fac1-1,Shopee SG,Pending,2/6/2024 20:25,0.475
b2b44f48441f4f3ca9387692b3e8096b-1,Shopee SG,Pending,2/6/2024 20:04,0.098
c23e5b847d274d1886e2afb16b491a16,Shopee SG,Pending,2/6/2024 18:33,0.134
45c7fb8462e74739b31d6f3d2d97f02b-1,Shopee SG,Pending,2/6/2024 18:11,0.349
f8e9eaf56e974bb29601146b4ff9e382-1,Shopee SG,Pending,2/6/2024 18:11,0.314
25b6bb3814e840e895388274455373c4-1,Shopee SG,Pending,2/6/2024 18:07,0.021
fffe2b68f75d4827a2b69c42884c250d-1,Shopee SG,Pending,2/6/2024 18:07,0.411
b010064b34a64ce49e825d637746b194-1,Shopee SG,Pending,2/6/2024 13:59,0.317
592541d0cd4848bbb6270aabb93597c6-1,Shopee SG,Pending,2/6/2024 11:43,0.787
4a51398ca05a446c8d148912d265a0dc-1,Shopee SG,Pending,2/6/2024 9:35,0.039
bbbad47101ab4ba28b887d9fb6c42e62-1,Shopee SG,Pending,2/6/2024 9:35,0.025
8200411b8ce5482b8db186066fa970c6-1,Shopee SG,Pending,2/6/2024 9:35,0.032
60d32b00519141928251a7d33071d600-1,Shopee SG,Pending,2/6/2024 9:35,0.021
68896f2983a4478491327b1874a4dff5-1,Shopee SG,Pending,2/6/2024 9:35,0.026
b17fac91a28e46e68aeff58f86df3f03-1,Shopee SG,Pending,1/6/2024 20:59,0.604
68f10e318c3441ad9d2b682dd8cf1ba5-1,Shopee SG,Pending,1/6/2024 20:59,0.105
3d74fd04434148f48e53f8b960ad25bd-1,Shopee SG,Pending,1/6/2024 20:28,0.202
9a359d12b1e84babb226cb198643f8c5-1,Shopee SG,Pending,1/6/2024 16:45,0.02
18e3240988944e1cb51182e784fdfd6e-1,Shopee SG,Pending,1/6/2024 16:45,0.01
9102adf55022416282413158e4fdf308-1,Shopee SG,Pending,1/6/2024 16:15,0.13
fc009fa4778c4f64bb4e84648ce9c53a-1,Shopee SG,Pending,1/6/2024 14:48,20.03
65589714837f467288124d51e1c4dc0d-1,Shopee SG,Pending,1/6/2024 0:51,1.84
91674f0a02df427fb223536551e15e0e-1,Shopee SG,Pending,31/05/2024 21:26,0.085
72041bd45d904ea2a3bbb1b255562500-1,Shopee SG,Pending,31/05/2024 21:26,0.048
8c24486d891c4c0e8a0cd72b04769e58-1,Shopee SG,Pending,31/05/2024 21:26,0.048
a40edabbaabc47bfbc5a97232dffe4a5-1,Shopee SG,Pending,31/05/2024 21:26,0.048
6c0fde48ba3d4ea690a7daf2b2cab790-1,Shopee SG,Pending,31/05/2024 21:26,0.248
43d2f0edb82045c49930be5debe9e084-1,Shopee SG,Pending,31/05/2024 16:28,0.027
043b41f28e6440e98c7adca08d7149d8-1,Shopee SG,Pending,31/05/2024 16:28,0.009
1f8e4e7e9bef490183c68bcf3f67a722-1,Shopee SG,Pending,31/05/2024 16:28,0.009
7dbd23f2508d42978bb082576e3c767a-1,Shopee SG,Pending,31/05/2024 16:28,0.01
30a9fe2f40024bb19104299903459c7d-1,Shopee SG,Pending,31/05/2024 13:01,0.111
f2849ea721ff4fbdadced53f45e2aae6-1,Shopee SG,Pending,30/05/2024 20:26,0.026
269ae5b24a7b4661b2e39c24499e9b10-1,Shopee SG,Pending,30/05/2024 18:04,0.028
363d0e3e8bee4da8b37b8c00e861b043-1,Shopee SG,Pending,30/05/2024 18:04,0.028
9a092ab2c2c044f8918dbe849cb27664-1,Shopee SG,Pending,30/05/2024 18:04,0.035
f7fdc3f53dc444119b2ba32ccccc42f5-1,Shopee SG,Pending,30/05/2024 18:04,0.061
4674148faa6a4f94bb9988da37971198-1,Shopee SG,Pending,30/05/2024 18:03,0.127
c08f444d525e4866a30e6d09121f13cf-1,Shopee SG,Pending,30/05/2024 17:26,0.042
f0848d837c0c496cb2df07882a6cd700-1,Shopee SG,Pending,30/05/2024 15:48,0.104
77e1922fec9c4995901704b9ce505339-1,Shopee SG,Pending,30/05/2024 15:48,0.044
8c5789d185c24b6085fe7064b47e17b6-1,Shopee SG,Pending,30/05/2024 11:48,0.193
d6ae85b8f02a43d7aa5b75d118333e59-1,Shopee SG,Pending,30/05/2024 11:48,0.124
3161b1ad8dd84d698fe17c2278614856-1,Shopee SG,Pending,30/05/2024 11:33,0.183
205e935f29274e7db5342b8fb59c75e7-1,Shopee SG,Pending,30/05/2024 11:33,0.009
9e20ff7004524773b7c541829c63d362-1,Shopee SG,Pending,30/05/2024 11:33,0.012
9221b06a48ca47bf9c0c804ca98e8bde-1,Shopee SG,Pending,30/05/2024 11:33,0.204
53b245eb854f4d49b82cecc96001f317-1,Shopee SG,Pending,30/05/2024 11:33,0.133
1461fe76b21c44ad8ca6955649475f27-1,Shopee SG,Pending,30/05/2024 11:33,0.114
18a8772b997e4b8fbcb28ed361432918-1,Shopee SG,Pending,30/05/2024 11:32,0.304
2d2d6ea27a88424faf50287e5768969e-1,Shopee SG,Pending,30/05/2024 11:32,0.028
b3b110ffcc4145a1b907c7951487fddc-1,Shopee SG,Pending,30/05/2024 11:32,0.028
91a869518ae845e2b4039c40a575079a-1,Shopee SG,Pending,30/05/2024 11:32,0.028
67c6160e02294a039232cdb49b3c28b5-1,Shopee SG,Pending,30/05/2024 11:32,0.028
6618057dd8904a98a60610468b1ba746-1,Shopee SG,Pending,30/05/2024 11:32,0.029
27b11e8f4f0d4503be8bca3a291530a9-1,Shopee SG,Pending,30/05/2024 11:32,0.056
7ca58b8523cc4e70bb9d7e97c371c0e4-1,Shopee SG,Pending,30/05/2024 01:09,0.358
da84a47f54f140939b78c5eed943f847-1,Shopee SG,Pending,29/05/2024 22:48,0.138
8c66f306dfa24bec8605c4592ed4d947-1,Shopee SG,Pending,29/05/2024 22:48,0.146
78c4d4d918724840915790023a0260c6-1,Shopee SG,Pending,29/05/2024 20:56,0.538
b557350aad77407b91d5489b4d481ded-1,Shopee SG,Pending,29/05/2024 08:56,0.012
315db75c235046a995b7a6070df9bb2a-1,Shopee SG,Pending,29/05/2024 08:51,0.012
2b437ce3d5aa41cc83ed6745cf803925-1,Shopee SG,Pending,29/05/2024 08:16,0.038
2ccc0be1967e4f97ae8b98223acf1372-1,Shopee SG,Pending,29/05/2024 08:16,0.038
3e6cd1cc396048a287bb2c83c5b10baf-1,Shopee SG,Pending,28/05/2024 22:21,0.113
3bd1873e680a4ae5882f5a0dd54d5b2c-1,Shopee SG,Pending,28/05/2024 14:51,0.081
cfe4816325da49528e8adf57daf1dc45-1,Shopee SG,Pending,28/05/2024 14:51,0.067
2695659448374c6481407d29286d8b32-1,Shopee SG,Pending,28/05/2024 14:51,0.056
ed8575135e8a46be975e870677e6a0d8-1,Shopee SG,Pending,28/05/2024 14:51,0.065
dd452024f2a44bf38276ca6963f33eec-1,Shopee SG,Pending,28/05/2024 13:52,0.172
e4d86aa3f39246d0b25698a6f3bbd3d1-1,Shopee SG,Pending,28/05/2024 12:03,0.063
bd91cf44c1024cc4997e2a1c1859abe1-1,Shopee SG,Pending,28/05/2024 10:54,0.066
f44e406060834a9dbd943157fd50cd01-1,Shopee SG,Pending,28/05/2024 10:22,1.23
867e7a6e3114478e9e9ac6355af8cd98-1,Shopee SG,Pending,28/05/2024 10:02,0.065
98c16dfb51814be4bfd46e653dae2327-1,Shopee SG,Pending,28/05/2024 10:02,0.062
4d5b6fbcce2f4212910428333f4257c0-1,Shopee SG,Pending,28/05/2024 10:02,0.103
8c1ebbd4b38c4318a6bf8ef60a056c90-1,Shopee SG,Pending,28/05/2024 10:02,0.103
8e7cd89f82464ad39806c078a60422a2-1,Shopee SG,Pending,28/05/2024 10:02,0.062
9c902730b0d84178b6fbebd7db413b9a-1,Shopee SG,Pending,28/05/2024 07:30,0.053
507027f63c0e4445a1ef607948b33348-1,Shopee SG,Pending,28/05/2024 07:30,0.009
d7a9c14be58f4c1a962c88ee4d9f197f-1,Shopee SG,Pending,28/05/2024 07:30,0.009
009ffba17f044e2581b2cc92326bc575-1,Shopee SG,Pending,28/05/2024 07:30,0.009
f2f1d9a1348f4d3a9978f922a0a45ecf-1,Shopee SG,Pending,28/05/2024 07:30,0.009
2002679016284729861cab9333e8b2d8-1,Shopee SG,Pending,28/05/2024 07:30,0.009
ead002338e494199b9ccfef47bb09ffa-1,Shopee SG,Pending,28/05/2024 07:30,0.017
aa82922e6aa34c4c9987a020ad74fbc7-1,Shopee SG,Pending,28/05/2024 07:30,0.23
edaf552790e64cc3a328a73f0789ecb6-1,Shopee SG,Pending,28/05/2024 07:30,0.23
b2ec399064f346b2b419f207f7a7205d-1,Shopee SG,Pending,28/05/2024 02:20,0.041
8b8f29cdcb524c5fb54b2dbf97c65ae0-1,Shopee SG,Pending,27/05/2024 13:01,0.084
cfa25ecf3a7d45a994fb41130b15e5e5-1,Shopee SG,Pending,26/05/2024 16:35,0.533
af74490151e849d584a60f62d1f61ff9-1,Shopee SG,Pending,26/05/2024 16:35,0.39
0c87db7485994e14bad68dab3270e311-1,Shopee SG,Pending,26/05/2024 16:35,0.311
b68c15d41f734010aef3965fcbef1dad-1,Shopee SG,Pending,26/05/2024 12:52,0.036
bf9404166a15427e8fb5a83b0bf1c463-1,Shopee SG,Pending,26/05/2024 12:52,0.048
85172ddeb64d4565902ab98427e6e747-1,Shopee SG,Pending,26/05/2024 12:48,0.034
f8ffde5288ee4a52878ff173e687ebc8-1,Shopee SG,Pending,26/05/2024 12:48,0.034
e39fd826bb394cab94195a729faeb586-1,Shopee SG,Pending,26/05/2024 12:48,0.024
7cda55cb6b704616b265815c1d2e87ac-1,Shopee SG,Pending,26/05/2024 12:48,0.024
6ddad1364fb74d88b958e184bbd10e18-1,Shopee SG,Pending,26/05/2024 12:48,0.096
58a7985104394771b016f0b98ced7b36-1,Shopee SG,Pending,26/05/2024 12:48,0.096
c39eef0cf6d64f51a63d9549cfb4872a-1,Shopee SG,Pending,26/05/2024 12:48,0.138
f596caf24c7a4357a68876b16c06e043-1,Shopee SG,Pending,26/05/2024 12:38,0.084
4504fc5257a74f9083adb1655f865b6e-1,Shopee SG,Pending,26/05/2024 12:38,0.538
0631651bbbf84b02ab32e5c833f9d2e3-1,Shopee SG,Pending,26/05/2024 12:38,0.259
f8a999c6c3ed42b3a854e3bc3c08698d-1,Shopee SG,Pending,26/05/2024 01:52,0.26
c56ac00bf63144d89c3e4a7211cd79f6-1,Shopee SG,Pending,25/05/2024 21:07,0.244
e6e5a9452372436cae8c0fbaba773884-1,Shopee SG,Pending,25/05/2024 19:12,0.071
b3f03173bd98489586d257e9a5dddbcd-1,Shopee SG,Pending,25/05/2024 18:16,0.01
7ff840461a3e49ba80e8de8330d9bebc-1,Shopee SG,Pending,25/05/2024 18:16,0.01
419b997e9d714518917123a42c73e5d4-1,Shopee SG,Pending,25/05/2024 18:16,0.01
c1e6291ab6a54c0aa73339544833a622-1,Shopee SG,Pending,25/05/2024 18:16,0.03
0d942cd743384ddd97ea7276ef1af1b3-1,Shopee SG,Pending,25/05/2024 14:58,0.179
95b8d05b38e946e7adc90e10e8abb07c-1,Shopee SG,Pending,25/05/2024 13:44,0.936
67c8d2a2a3624ae39a8428fbc6036c99-1,Shopee SG,Pending,25/05/2024 13:24,0.623
62474bd852324b6283a5b29f2150c4fa-1,Shopee SG,Pending,25/05/2024 11:03,0.088
