Conversion ID,Advertiser,Status,Order ID,Conversion Time,Click Time,Currency,EUID,Estimate Order Value,Estimate Optimise Cashback Value,Cashback % or Amount,Estimate M1 Cashback Value,"Estimate Cashback Value
(Exclude GST)",,Settlement Date,Partner Approved but payment not received. But pulseid have done the settlement
95adf12a492046af92866546d172fcf7-1,Trip.com,Pending,32808880345,9/6/2024 14:47,4/6/2024 7:54,USD,ea909cff-0bc9-45c9-825f-1e0cb2b73f71,259.81,10.39,0.04,9.093,8.457,,,
b554efbd6dd741c7856a746ff7fa7639-1,Shopee Singapore,Pending,240609HTRRW9H4_21681511885_1,9/6/2024 14:14,9/6/2024 14:08,SGD,b32da478-f62d-4b64-abda-e4f1a4966ed0,8.78,0.14,0.9,7.902,7.349,,,
7927e10a354440ae9dea9392db2cbab9-1,Trip.com,Pending,32807645035,9/6/2024 13:31,4/6/2024 7:54,USD,ea909cff-0bc9-45c9-825f-1e0cb2b73f71,150.89,6.04,0.04,5.281,4.911,,,
eb398ac5e6f142b08548584471aaf2f3-1,Shopee Singapore,Pending,240609HMCJ9FMA_25656129752_3,9/6/2024 12:20,9/6/2024 12:07,SGD,3956f442-9fdc-45bd-91be-e12fccb7c7f2,2.05,0.03,0.9,1.845,1.716,,,
4402df6dda1f4e3ab1239702d2db40f9-1,Shopee Singapore,Pending,240609HMCJ9FM8_9537240533_1,9/6/2024 12:20,9/6/2024 12:07,SGD,3956f442-9fdc-45bd-91be-e12fccb7c7f2,25.63,0.41,0.9,23.067,21.452,,,
ec0a6c0f599d4a91b6c348607a3db4d8-1,Shopee Singapore,Pending,240609HMCJ9FMA_25656129752_2,9/6/2024 12:20,9/6/2024 12:07,SGD,3956f442-9fdc-45bd-91be-e12fccb7c7f2,1.7,0.03,0.9,1.53,1.423,,,
adb77cc79a8042e894f16f9fff81dc05-1,Shopee Singapore,Pending,240609HMCJ9FMA_25656129752_4,9/6/2024 12:20,9/6/2024 12:07,SGD,3956f442-9fdc-45bd-91be-e12fccb7c7f2,2.39,0.04,0.9,2.151,2,,,
8e4132181e514862bb4b35423ba8d3e8-1,Shopee Singapore,Pending,240609HMCJ9FM8_9537240533_3,9/6/2024 12:20,9/6/2024 12:07,SGD,3956f442-9fdc-45bd-91be-e12fccb7c7f2,8.37,0.13,0.9,7.533,7.006,,,
b96a74f6a38a4e99a0c52be1db1c051d-1,Shopee Singapore,Pending,240609HMCJ9FM8_9537240533_2,9/6/2024 12:20,9/6/2024 12:07,SGD,3956f442-9fdc-45bd-91be-e12fccb7c7f2,8.11,0.13,0.9,7.299,6.788,,,
5db7062b99eb4d7d8d3454d2089d8ceb-1,Shopee Singapore,Pending,240609HMCJ9FM9_23554856914_1,9/6/2024 12:20,9/6/2024 12:07,SGD,3956f442-9fdc-45bd-91be-e12fccb7c7f2,3.41,0.05,1.6,5.456,5.074,,,
db62fa9643f84de8a1d8202be9095dba-1,Shopee Singapore,Pending,240609HMCJ9FMB_25975691014_1,9/6/2024 12:20,9/6/2024 12:07,SGD,3956f442-9fdc-45bd-91be-e12fccb7c7f2,5.55,0.09,0.9,4.995,4.645,,,
1cc8d1d7a4f04144bb59d5d77604e0d5-1,Shopee Singapore,Pending,240609HMCJ9FMA_25656129752_1,9/6/2024 12:20,9/6/2024 12:07,SGD,3956f442-9fdc-45bd-91be-e12fccb7c7f2,1.58,0.03,0.9,1.422,1.322,,,
0f1ac7e9e8bf47f7bfb64087205fe2ff-1,Shopee Singapore,Pending,240609GJRWBBHM_20953842751_1,9/6/2024 2:18,5/6/2024 8:41,SGD,8324492c-12ca-485d-a1e6-7680a1f2f6ba,0.76,0.01,0.9,0.684,0.636,,,
e0785f8ea108494fba08331775c4a9d9-1,Shopee Singapore,Pending,240608G5AWR0UK_20205281571_1,8/6/2024 22:18,8/6/2024 22:16,SGD,c3163282-1a3d-4e0b-bb88-5db5ecc3e721,12.86,0.21,0.9,11.574,10.764,,,
590a76a441874a2592e9d9388b6db903,Shopee Singapore,Pending,240608G5AWR0UM_23133643375_1,8/6/2024 22:18,8/6/2024 22:16,SGD,c3163282-1a3d-4e0b-bb88-5db5ecc3e721,6.98,0.11,0.9,6.282,5.842,,,
717840eed4e94f3d847c2898a10d21c6-1,Shopee Singapore,Pending,240608G3QKGJG2_19548042345_1,8/6/2024 21:49,8/6/2024 21:47,SGD,95bddfef-43db-4bb0-946a-94204221c775,21.31,0.34,0.9,19.179,17.836,,,
07ac427bbc3b4e66b2594da9e286beaa-1,Shopee Singapore,Pending,240608FVDCHR40_22683733783_1,8/6/2024 19:38,8/6/2024 19:38,SGD,a575aea7-1438-47a5-93fe-17d735dc21f9,38.57,0.62,1.6,61.712,57.392,,,
a2bdecb831b442fa8cc4eeb9273be1d9-1,Shopee Singapore,Pending,240608FT40MDSN_24203595682_1,8/6/2024 18:57,7/6/2024 14:56,SGD,8c628167-1af3-4a78-80dd-27e4856fb344,8.61,0.14,1.6,13.776,12.812,,,
dd5b91959d2148659c64d2d2d9f75c88-1,Shopee Singapore,Pending,240608FT40MDSN_24203595682_2,8/6/2024 18:57,7/6/2024 14:56,SGD,8c628167-1af3-4a78-80dd-27e4856fb344,9.27,0.15,1.6,14.832,13.794,,,
8a4df7db3051491d80245b9d62d66a95-1,Shopee Singapore,Pending,240608FSS2KBAV_29751510875_1,8/6/2024 18:51,7/6/2024 20:10,SGD,b821cee9-013b-49cb-b622-0a98169eb857,3.66,0.06,0.9,3.294,3.063,,,
9307b3dff9f14904af6acdf41ee7cda5-1,Shopee Singapore,Pending,240608FNX3TAE8_23166111626_1,8/6/2024 17:42,4/6/2024 23:35,SGD,055ffcf5-30aa-417a-9f18-f5b8e2072095,2.29,0.04,0.9,2.061,1.917,,,
620985fdfa4c49f191f5f888e16d1913-1,Shopee Singapore,Pending,240608FH8DEUFM_18352136732_1,8/6/2024 16:18,8/6/2024 16:18,SGD,c3163282-1a3d-4e0b-bb88-5db5ecc3e721,66.33,1.06,0.9,59.697,55.518,,,
a891c77dc8f24909bffb10f77615fdd3-1,Shopee Singapore,Pending,240608F93A9GG4_23146347515_1,8/6/2024 13:52,8/6/2024 13:52,SGD,4281df96-78eb-4bf6-a811-924fa87bc848,1.06,0.02,0.9,0.954,0.887,,,
45131d9cdd854b53aeaae963e52ccc31-1,Shopee Singapore,Pending,240608EXBJN6FJ_12385077719_2,8/6/2024 10:40,7/6/2024 13:26,SGD,aed26f4f-1fe2-4961-8767-161a9d2aac31,4.09,0.07,0.9,3.681,3.423,,,
843d12e037064f3983f11b738bb23b89-1,Shopee Singapore,Pending,240608EXBJN6FJ_12385077719_1,8/6/2024 10:40,7/6/2024 13:26,SGD,aed26f4f-1fe2-4961-8767-161a9d2aac31,4.1,0.07,0.9,3.69,3.432,,,
aebb5bb7e9c84c77ad78cef48c4295ec-1,Shopee Singapore,Pending,240608EXBJN6FK_22033335681_2,8/6/2024 10:40,7/6/2024 13:26,SGD,aed26f4f-1fe2-4961-8767-161a9d2aac31,4.61,0.07,0.9,4.149,3.859,,,
6e762b22a5944596be0ed13a6fbcb82f-1,Shopee Singapore,Pending,240608EXBJN6FK_22033335681_1,8/6/2024 10:40,7/6/2024 13:26,SGD,aed26f4f-1fe2-4961-8767-161a9d2aac31,4.62,0.07,0.9,4.158,3.867,,,
d2a16a3e9ebf4cd4b98bbdc5807226f4-1,Shopee Singapore,Pending,240608DWUGB579_21476089364_1,8/6/2024 0:58,8/6/2024 0:57,SGD,ef713528-f45d-4ee1-b697-73a521db1ab2,16.56,0.26,0.9,14.904,13.861,,,
9db4ecbfee7145478150934f5b8e91f7-1,Shopee Singapore,Pending,240607DF7FVXJU_24931109126_1,7/6/2024 20:37,7/6/2024 20:36,SGD,4281df96-78eb-4bf6-a811-924fa87bc848,7.24,0.12,1.6,11.584,10.773,,,
e8613ac39eae46f489078eff25f19225-1,Shopee Singapore,Pending,240607DF7FVXJU_24781116439_2,7/6/2024 20:37,7/6/2024 20:36,SGD,4281df96-78eb-4bf6-a811-924fa87bc848,3.64,0.06,1.6,5.824,5.416,,,
e509e0da8c0544b185264051d9c7df08-1,Fairprice ON,Pending,180439807,7/6/2024 19:37,6/6/2024 19:53,SGD,10500ea3-a146-4f47-a0c5-f502e72e5cfc,94.36,0.6,,,,,,
9322d9d9d3234693badc6e6f1ece363e-1,Shopee Singapore,Pending,240607CYF9KSR8_25359692200_1,7/6/2024 15:55,7/6/2024 15:36,SGD,7a7e64fb-1ba1-4073-bf4e-2e936cb43b72,6.96,0.11,0.9,6.264,5.826,,,
3f985bae72014fab834694b9691afd57-1,Shopee Singapore,Pending,240607CJ65DDY9_10106245389_1,7/6/2024 11:57,7/6/2024 11:56,SGD,b05cf322-a2ac-4ef9-b99e-69575db5ba6b,33.92,0.54,1.6,54.272,50.473,,,
7f526b73a9014fd1be192a6bb90b77fd-1,Shopee Singapore,Pending,240607CJ65DDYA_20146456008_2,7/6/2024 11:57,7/6/2024 11:56,SGD,b05cf322-a2ac-4ef9-b99e-69575db5ba6b,7.88,0.13,0.9,7.092,6.596,,,
7129d9bd9fdf49e3917240f86a5b2f26-1,Shopee Singapore,Pending,240607CJ65DDYA_20146456008_1,7/6/2024 11:57,7/6/2024 11:56,SGD,b05cf322-a2ac-4ef9-b99e-69575db5ba6b,17.41,0.28,0.9,15.669,14.572,,,
adf138678d3b470a83ae89b5389f313f,Shopee Singapore,Pending,240607CHMB4THT_24008438558_1,7/6/2024 11:47,6/6/2024 19:29,SGD,c894ba3a-1eed-42af-a6a7-7a8f02ac2442,16.68,0.27,0.9,15.012,13.961,,,
35f0f2804f404b6084b39241b53c2c86-1,Shopee Singapore,Pending,240607CHMB4THS_23954870395_1,7/6/2024 11:47,6/6/2024 19:29,SGD,c894ba3a-1eed-42af-a6a7-7a8f02ac2442,1.75,0.03,1.6,2.8,2.604,,,
6d903e5c621c4c2997b7c24b229927ec-1,Shopee Singapore,Pending,240607CHMB4THQ_25452934788_2,7/6/2024 11:47,6/6/2024 19:29,SGD,c894ba3a-1eed-42af-a6a7-7a8f02ac2442,3.24,0.05,0.9,2.916,2.712,,,
31ae07e55a2a493c828dde43b6f71647-1,Shopee Singapore,Pending,240607CHMB4THQ_21367482781_1,7/6/2024 11:47,6/6/2024 19:29,SGD,c894ba3a-1eed-42af-a6a7-7a8f02ac2442,13.25,0.21,0.9,11.925,11.09,,,
717304b2e6f04bbfad167dbb51866304-1,Shopee Singapore,Pending,240607C3KEWDGD_1208252741_1,7/6/2024 7:36,7/6/2024 7:33,SGD,b32da478-f62d-4b64-abda-e4f1a4966ed0,12.03,0.19,0.96,11.549,10.74,,,
cb961f1cd1d945a596261eb93fd2ba34-1,Shopee Singapore,Pending,240607C3KEWDGD_820076756_2,7/6/2024 7:36,7/6/2024 7:33,SGD,b32da478-f62d-4b64-abda-e4f1a4966ed0,24.04,0.38,0.9,21.636,20.121,,,
7700c6f9580f4f57a21e5a8ce8bf4474-1,Shopee Singapore,Pending,240607BDMU2MPY_18679209791_1,7/6/2024 1:03,1/6/2024 16:04,SGD,0313899e-84dc-4bed-8733-af5e8625d8f6,20.8,0.33,0.9,18.72,17.41,,,
2c99394193904ca1846edf11d2822368-1,Shopee Singapore,Pending,240607BDMU2MPX_12502562644_1,7/6/2024 1:03,1/6/2024 16:04,SGD,0313899e-84dc-4bed-8733-af5e8625d8f6,29.09,0.47,0.9,26.181,24.348,,,
bfd81b90b8f14426898f5f53d553d43f-1,Shopee Singapore,Pending,240607BDMU2MQ0_19995031478_1,7/6/2024 1:03,1/6/2024 16:04,SGD,0313899e-84dc-4bed-8733-af5e8625d8f6,1.82,0.03,0.9,1.638,1.523,,,
56b71f6e1a464d808926f74e7861b665-1,Shopee Singapore,Pending,240606B85DRR35_19960081412_4,6/6/2024 23:25,6/6/2024 23:23,SGD,fd49952c-7961-41fd-ab48-712c09591fc3,9.9,0.16,0.9,8.91,8.286,,,
56d6020455c04fd5980b9db328195924-1,Shopee Singapore,Pending,240606B85DRR35_14794648722_1,6/6/2024 23:25,6/6/2024 23:23,SGD,fd49952c-7961-41fd-ab48-712c09591fc3,9.83,0.16,0.9,8.847,8.228,,,
47f5c8a2e8fb4fb485a9b0f6fcc0dd81-1,Shopee Singapore,Pending,240606B85DRR35_19259779802_3,6/6/2024 23:25,6/6/2024 23:23,SGD,fd49952c-7961-41fd-ab48-712c09591fc3,11.97,0.19,0.9,10.773,10.019,,,
c9b9ceeddff84f49b5daf0ce1058dba2-1,Shopee Singapore,Pending,240606B85DRR35_18759786249_2,6/6/2024 23:25,6/6/2024 23:23,SGD,fd49952c-7961-41fd-ab48-712c09591fc3,11.65,0.19,0.9,10.485,9.751,,,
1afa50c9301745a897f7e4c68307c1db-1,Shopee Singapore,Pending,240606B85DRR35_23003835405_5,6/6/2024 23:25,6/6/2024 23:23,SGD,fd49952c-7961-41fd-ab48-712c09591fc3,11.04,0.18,0.9,9.936,9.24,,,
3240feadae144e4f80e66b07780837b0-1,Shopee Singapore,Pending,240606B2G3KUFC_24879883134_1,6/6/2024 21:44,6/6/2024 21:43,SGD,34a47d1e-38e9-4574-a5aa-616e25ca0421,16.62,0.27,1.6,26.592,24.731,,,
cfb8c533b7a641c1815af8b815bfd224-1,Shopee Singapore,Pending,240606B2CUKDHW_4010119313_1,6/6/2024 21:42,6/6/2024 21:39,SGD,3902ee22-05e6-474e-9cb3-9b9012c9eaac,82.02,1.31,0.9,73.818,68.651,,,
b22b5f328556498e94687e436d1af3b0-1,Shopee Singapore,Pending,240606ASJ7W43N_24802694500_3,6/6/2024 19:04,6/6/2024 19:03,SGD,b42a36f9-9c9a-4926-b119-28a8d7a4cffe,3.76,0.06,1.6,6.016,5.595,,,
9f920a51bb9d41c88b8aab49fd7ee435-1,Shopee Singapore,Pending,240606ASJ7W43N_11421481260_1,6/6/2024 19:04,6/6/2024 19:03,SGD,b42a36f9-9c9a-4926-b119-28a8d7a4cffe,1.18,0.02,0.9,1.062,0.988,,,
5c71bc47adfd4babb108f943c3ad85ba-1,Shopee Singapore,Pending,240606ASJ7W43N_11421481260_2,6/6/2024 19:04,6/6/2024 19:03,SGD,b42a36f9-9c9a-4926-b119-28a8d7a4cffe,1.16,0.02,0.9,1.044,0.971,,,
3d714cbdf99047f48b51853d12f77f34-1,Shopee Singapore,Pending,240606APG98HGB_23702280946_1,6/6/2024 18:09,6/6/2024 18:08,SGD,c3163282-1a3d-4e0b-bb88-5db5ecc3e721,5.9,0.09,0.9,5.31,4.938,,,
6cf65704464f46b2bea3511ca69e2a2a-1,Shopee Singapore,Pending,240606APG98HGC_25023291798_1,6/6/2024 18:09,6/6/2024 18:08,SGD,c3163282-1a3d-4e0b-bb88-5db5ecc3e721,2.94,0.05,0.9,2.646,2.461,,,
138289b92f1c453c858391258b15e661-1,Shopee Singapore,Pending,240606A4530D2N_12534927277_1,6/6/2024 12:41,31/05/2024 13:21,SGD,324584ee-f729-454b-8a96-f52c0e8db3ee,14.88,0.24,0.9,13.392,12.455,,,
8dfc830818f34d5a9bf17b438324ecf3-1,Shopee Singapore,Pending,240606A3NWHR51_25310450774_1,6/6/2024 12:32,1/6/2024 8:07,SGD,98e25174-cf06-40ab-a99e-108c25193e84,8.91,0.14,0.9,8.019,7.458,,,
69c03371097a4bdfa1467fc0df7e5263-1,Shopee Singapore,Pending,240606A3NWHR4Y_20595024979_1,6/6/2024 12:32,1/6/2024 8:07,SGD,98e25174-cf06-40ab-a99e-108c25193e84,32.65,0.52,0.9,29.385,27.328,,,
df9e8c07dcfb4fcc9fc6e86bcb8935ae-1,Shopee Singapore,Pending,240606A3NWHR4V_6041497083_1,6/6/2024 12:32,1/6/2024 8:07,SGD,98e25174-cf06-40ab-a99e-108c25193e84,18.13,0.29,0.9,16.317,15.175,,,
0361cb5a2e7a492eb74c16f90173795f-1,Shopee Singapore,Pending,240606A3NWHR4W_17062196969_1,6/6/2024 12:32,1/6/2024 8:07,SGD,98e25174-cf06-40ab-a99e-108c25193e84,9.38,0.15,0.9,8.442,7.851,,,
b87710c9e8684e758e1d1f2083f8dc23-1,Shopee Singapore,Pending,240606A3NWHR4X_19446086210_1,6/6/2024 12:32,1/6/2024 8:07,SGD,98e25174-cf06-40ab-a99e-108c25193e84,54.22,0.87,0.9,48.798,45.382,,,
f59689ededd24e9aaa20c2d8d01b5ba1-1,Shopee Singapore,Pending,240606A3NWHR4U_5634132781_1,6/6/2024 12:32,1/6/2024 8:07,SGD,98e25174-cf06-40ab-a99e-108c25193e84,29.96,0.48,0.9,26.964,25.077,,,
940747c19610463e88fa265bffdc46d0-1,Shopee Singapore,Pending,240606A2FSTR21_25452441581_1,6/6/2024 12:11,6/6/2024 12:06,SGD,b42a36f9-9c9a-4926-b119-28a8d7a4cffe,4.73,0.08,0.9,4.257,3.959,,,
047f202252134edebb7a86e241de4ac0-1,Shopee Singapore,Pending,2406069TBN7J9T_24767269622_1,6/6/2024 9:45,1/6/2024 20:43,SGD,2462db72-9087-4ce6-a2f6-86a6ec7b5428,40.99,0.66,0.9,36.891,34.309,,,
bb7c517b23b44d9ba1f08df5954ba491-1,Shopee Singapore,Pending,2406069361X10B_25519772284_1,6/6/2024 2:51,5/6/2024 9:17,SGD,00e0ac5e-76ee-48f1-8fe6-d992b79d778b,6.4,0.1,0.9,5.76,5.357,,,
dbcaef5317f54adfb533b976202a13ba-1,Shopee Singapore,Pending,24060690G6DV8E_19577745523_1,6/6/2024 2:03,6/6/2024 1:55,SGD,fd49952c-7961-41fd-ab48-712c09591fc3,1.74,0.03,0.9,1.566,1.456,,,
76aa8fb6ce2a4dcca75d3a86e47edefb-1,Shopee Singapore,Pending,24060690G6DV8H_25729897673_1,6/6/2024 2:03,6/6/2024 1:55,SGD,fd49952c-7961-41fd-ab48-712c09591fc3,0.89,0.01,0.9,0.801,0.745,,,
07e360194f964f2498fb9651104b0d12-1,Shopee Singapore,Pending,24060690G6DV8F_22464242471_3,6/6/2024 2:03,6/6/2024 1:55,SGD,fd49952c-7961-41fd-ab48-712c09591fc3,6.04,0.1,0.9,5.436,5.055,,,
c795d0b59d47441ebab291a2a9a211c2-1,Shopee Singapore,Pending,24060690G6DV8F_25423324656_5,6/6/2024 2:03,6/6/2024 1:55,SGD,fd49952c-7961-41fd-ab48-712c09591fc3,1.45,0.02,1.6,2.32,2.158,,,
e2f4c1ddb7984faeb747e5043a8e2218-1,Shopee Singapore,Pending,24060690G6DV8F_25572702264_6,6/6/2024 2:03,6/6/2024 1:55,SGD,fd49952c-7961-41fd-ab48-712c09591fc3,2.22,0.04,0.9,1.998,1.858,,,
08175992391c4662bef306aaca50d877-1,Shopee Singapore,Pending,24060690G6DV8F_22044901611_2,6/6/2024 2:03,6/6/2024 1:55,SGD,fd49952c-7961-41fd-ab48-712c09591fc3,3.34,0.05,0.9,3.006,2.796,,,
21aee969562d4caa8fee7c7aa26b12db-1,Shopee Singapore,Pending,24060690G6DV8F_20690709791_1,6/6/2024 2:03,6/6/2024 1:55,SGD,fd49952c-7961-41fd-ab48-712c09591fc3,2.04,0.03,0.9,1.836,1.707,,,
7bbbf21644864a6ab68d2c8f2d28ece3-1,Shopee Singapore,Pending,24060690G6DV8C_16498766351_1,6/6/2024 2:03,6/6/2024 1:55,SGD,fd49952c-7961-41fd-ab48-712c09591fc3,1.02,0.02,0.9,0.918,0.854,,,
099d83da6b374fdca4bdf0416e5dc4cb-1,Shopee Singapore,Pending,24060690G6DV8G_22377489450_1,6/6/2024 2:03,6/6/2024 1:55,SGD,fd49952c-7961-41fd-ab48-712c09591fc3,1.48,0.02,0.9,1.332,1.239,,,
c248edf2d30e44d583d530a7e48f3c18-1,Shopee Singapore,Pending,24060690G6DV8D_18124049883_1,6/6/2024 2:03,6/6/2024 1:55,SGD,fd49952c-7961-41fd-ab48-712c09591fc3,1.39,0.02,0.9,1.251,1.163,,,
10cfda08d5df48028244b8573ab24d2f-1,Shopee Singapore,Pending,24060690G6DV8F_24604882301_4,6/6/2024 2:03,6/6/2024 1:55,SGD,fd49952c-7961-41fd-ab48-712c09591fc3,2.52,0.04,0.9,2.268,2.109,,,
7fe1c325abdd4f0d9746a8cb3df67fb1-1,Shopee Singapore,Pending,2406068VX7J9HB_1933098066_3,6/6/2024 0:59,30/05/2024 22:42,SGD,0be58a17-9206-4340-a547-475165a237a9,7.58,0.12,0.9,6.822,6.344,,,
77604619f7fc4c7bb214411e2b72adef-1,Shopee Singapore,Pending,2406068VX7J9HB_5582104613_1,6/6/2024 0:59,30/05/2024 22:42,SGD,0be58a17-9206-4340-a547-475165a237a9,2.5,0.04,0.9,2.25,2.093,,,
a9df2468f2a94e508fe53f6096a2a14d-1,Shopee Singapore,Pending,2406068VX7J9HB_7736652504_2,6/6/2024 0:59,30/05/2024 22:42,SGD,0be58a17-9206-4340-a547-475165a237a9,12.15,0.19,0.9,10.935,10.17,,,
4090e15792e448afb9db6608bfecfc14-1,Shopee Singapore,Pending,2406068UMS0510_21392421344_1,6/6/2024 0:36,30/05/2024 11:37,SGD,ca1d9f1b-575d-4498-a1e7-a6eaf0071613,61.24,0.98,0.9,55.116,51.258,,,
2e8c9ea5ff714d9592812661a6d773a6-1,Shopee Singapore,Pending,2406068U8NTSDF_20735315394_1,6/6/2024 0:29,6/6/2024 0:22,SGD,948cbe0d-dd2c-40a9-8f2e-d9a855392e51,14.64,0.23,0.9,13.176,12.254,,,
3aa01d3ff9414d6395cf31346f32be4d-1,Shopee Singapore,Pending,2406068U8NTSDG_25773348776_1,6/6/2024 0:29,6/6/2024 0:22,SGD,948cbe0d-dd2c-40a9-8f2e-d9a855392e51,5.5,0.09,0.9,4.95,4.604,,,
e2f93e4553fc4ab0bad680a7c5facd2a-1,Shopee Singapore,Pending,2406058RQNQ7N8_18095473014_8,5/6/2024 23:44,5/6/2024 23:42,SGD,fd49952c-7961-41fd-ab48-712c09591fc3,3.65,0.06,0.9,3.285,3.055,,,
39aca06cf5974ad2aaad0b3146d44773-1,Shopee Singapore,Pending,2406058RQNQ7N8_18873138221_1,5/6/2024 23:44,5/6/2024 23:42,SGD,fd49952c-7961-41fd-ab48-712c09591fc3,0.95,0.02,0.9,0.855,0.795,,,
2bf160b249d84f708b6e56524c47be45-1,Shopee Singapore,Pending,2406058RQNQ7N8_20638418010_3,5/6/2024 23:44,5/6/2024 23:42,SGD,fd49952c-7961-41fd-ab48-712c09591fc3,2.84,0.05,0.9,2.556,2.377,,,
72ee55acb6be4519ab731b23094107e8-1,Shopee Singapore,Pending,2406058RQNQ7N8_22362715676_9,5/6/2024 23:44,5/6/2024 23:42,SGD,fd49952c-7961-41fd-ab48-712c09591fc3,0.94,0.02,0.9,0.846,0.787,,,
4487ab41a5534b14b5e55b161fa9fe91-1,Shopee Singapore,Pending,2406058RQNQ7N8_20495460493_2,5/6/2024 23:44,5/6/2024 23:42,SGD,fd49952c-7961-41fd-ab48-712c09591fc3,3.65,0.06,0.9,3.285,3.055,,,
2b71497f3c2040748745b460954c1b20-1,Shopee Singapore,Pending,2406058RQNQ7N8_3434229957_5,5/6/2024 23:44,5/6/2024 23:42,SGD,fd49952c-7961-41fd-ab48-712c09591fc3,27.45,0.44,0.9,24.705,22.976,,,
6009b99e9fb04c149546d248cc6f9561-1,Shopee Singapore,Pending,2406058RQNQ7N8_14504586072_6,5/6/2024 23:44,5/6/2024 23:42,SGD,fd49952c-7961-41fd-ab48-712c09591fc3,1,0.02,0.9,0.9,0.837,,,
2090edda6baf4a30ba8c405c1e11b5d6-1,Shopee Singapore,Pending,2406058RQNQ7N8_25208888990_4,5/6/2024 23:44,5/6/2024 23:42,SGD,fd49952c-7961-41fd-ab48-712c09591fc3,2.65,0.04,0.9,2.385,2.218,,,
