Conversion ID,Advertiser,Status,Order ID,Conversion Time,Click Time,Currency,EUID,Estimate Order Value,Estimate Optimise Cashback Value,Cashback % or Amount,Estimate M1 Cashback Value,"Estimate Cashback Value
(Exclude GST)",Unnamed: 13,Settlement Date,Partner Approved but payment not received. But pulseid have done the settlement
1101l2019145672,iHerb,Approved,727075090,7/11/2023 7:32,7/11/2023 7:30,SGD,39726b65-58c0-4d6a-9e25-567ac9431d12,93.06,4.653,4.00%,3.723,3.462,,7/4/2024,
1100l1985331213,iHerb,Approved,726938750,29/10/2023 15:08,29/10/2023 15:03,SGD,f845bd53-5644-4d85-8c00-ba575987da65,100.18,5.009,4.00%,4.007,3.727,,7/4/2024,
1100l1982985507,tripcom,Approved,27967459939,18/10/2023 10:28,15/10/2023 16:17,SGD,f6157a38-a808-49d9-a3db-26d68449873c,109.88,5.494,4.50%,4.945,4.599,,7/4/2024,
1011l2030387830,tripcom,Approved,27461583167,15/10/2023 16:31,15/10/2023 16:17,SGD,f6157a38-a808-49d9-a3db-26d68449873c,500.24,5.002,1.00%,5.002,4.652,,7/4/2024,
1101l2011335135,tripcom,Approved,27187201193,3/10/2023 21:37,1/10/2023 22:13,SGD,c164ebaa-8b9d-4d9d-8285-709ded13fdd5,125.16,6.258,4.50%,5.632,5.238,,7/4/2024,
1100l1979342846,tripcom,Approved,27172083979,3/10/2023 13:45,1/10/2023 22:13,SGD,c164ebaa-8b9d-4d9d-8285-709ded13fdd5,127.77,6.388,4.50%,5.75,5.347,,7/4/2024,
1011l2027401457,tripcom,Approved,27168920377,3/10/2023 11:12,1/10/2023 22:13,SGD,c164ebaa-8b9d-4d9d-8285-709ded13fdd5,119.35,5.967,4.50%,5.371,4.995,,7/4/2024,
31c9406ffdf14426aec4346eb2a2d524-1,Fairprice ON,Approved,167759383,16/02/2024 21:37,16/02/2024 16:29,SGD,7cbbfaad-60d2-489a-aa56-006c2d9351ad,77.88,0.8,1.00%,0.779,0.724,,7/5/2024,
30129de16a234582b00b5126c76ad1f5-1,Fairprice ON,Approved,167474904,13/02/2024 23:32,13/02/2024 22:57,SGD,62503e76-1026-4d88-a11c-ac8643bee0e0,120.09,0.8,1.00%,1.201,1.117,,7/5/2024,
b8845632d4934b61aba14eebbbe8b355-1,Fairprice ON,Approved,167382286,13/02/2024 10:07,12/2/2024 13:11,SGD,50a477e3-e176-4ad0-ab1b-83b0a21e9529,210.47,0.8,1.00%,2.105,1.957,,7/5/2024,
044d156956194192b050e38bec2b640c-1,Fairprice ON,Approved,165759922,1/2/2024 11:10,1/2/2024 10:29,SGD,1e7992c5-c22a-4533-9838-bb1c01b4ec41,57.06,0.8,1.00%,0.571,0.531,,,
abe8028aa8a64eddacd26af17405c747-1,Fairprice ON,Approved,165315806,28/01/2024 22:58,28/01/2024 11:31,SGD,47ee2fb3-f023-4a06-bc38-17e3ac9274c4,56.38,3.1,5.00%,2.819,2.622,,,
757101b0088e4f619f3bb5bb8ff58168-1,Fairprice ON,Approved,165276491,28/01/2024 19:54,28/01/2024 11:31,SGD,47ee2fb3-f023-4a06-bc38-17e3ac9274c4,67.52,3.71,5.00%,3.376,3.14,,,
92ab5bf24d6146b6bedf368c115825d3-1,Fairprice ON,Approved,164416782,22/01/2024 20:13,22/01/2024 09:41,SGD,bbb06991-4fc2-4b61-9f9d-35d93c046b60,167.32,0.8,0.48%,0.8,0.744,,7/5/2024,
37e3f8c05cad486992695c51aa89668e-1,Fairprice ON,Approved,163051256,12/1/2024 19:43,12/1/2024 19:35,SGD,06e5ecb8-48bb-475d-8fe4-b2e0b01c8aba,56.54,0.8,1.41%,0.8,0.744,,7/5/2024,
9ed660717d504861b963b586756b8c7d-1,Shopee SG,Approved,240109EG5P5HKF_4663110377_1,9/1/2024 19:20,8/1/2024 21:16,SGD,c05c87ec-b8cc-44d0-b736-013332b150c7,2.17,0.05,1.60%,0.035,0.032,,7/5/2024,
ddb1c41c9f4c455cb4e2cf495746db63-1,Shopee SG,Approved,240109DPN0M6BT_159557_1,9/1/2024 11:43,4/1/2024 9:42,SGD,a0808e9f-103e-41c7-a226-b79899d24ff8,27.28,0.63,0.90%,0.246,0.228,,7/5/2024,
785e003b90c54089b1dac6ee7302f37d-1,Fairprice ON,Approved,162660212,9/1/2024 9:02,9/1/2024 6:38,SGD,cd25e84f-5b56-45cc-a5fd-f55fea56efdf,17.86,0.98,5.00%,0.893,0.83,,7/5/2024,
55d67a62dec8413eb935e3cf4379577e-1,Shopee SG,Approved,240108BW3XGFY2_5962435179_2,8/1/2024 18:33,5/1/2024 14:01,SGD,419b3083-ed68-44da-bd75-19dbb718006c,6.39,0.15,0.90%,0.058,0.053,,7/5/2024,
6e68a4d44dd244b194dfee223931cd96-1,Shopee SG,Approved,240108BW3XGFY2_4245484087_1,8/1/2024 18:33,5/1/2024 14:01,SGD,419b3083-ed68-44da-bd75-19dbb718006c,9.94,0.23,0.90%,0.089,0.083,,7/5/2024,
11d014cac2ab4c5996bc62c163f128aa-1,Shopee SG,Approved,240108AV4PRB2A_2712915733_2,8/1/2024 8:43,8/1/2024 8:42,SGD,6e6e21bb-3adb-4ff8-8c52-85245deaba79,9.62,0.22,0.90%,0.087,0.081,,7/5/2024,
b538d45332dd440bbce2712fbf87bdd9-1,Shopee SG,Approved,240108AV4PRB2A_21525202509_1,8/1/2024 8:43,8/1/2024 8:42,SGD,6e6e21bb-3adb-4ff8-8c52-85245deaba79,18.42,0.42,0.90%,0.166,0.154,,7/5/2024,
c6637150fd124e249000e7d0eae30ab5-1,Shopee SG,Approved,240108AV4PRB2A_6663239057_4,8/1/2024 8:43,8/1/2024 8:42,SGD,6e6e21bb-3adb-4ff8-8c52-85245deaba79,15.67,0.36,0.90%,0.141,0.131,,7/5/2024,
37db0d78002942a099abe1d37409a1c4-1,Shopee SG,Approved,240108AV4PRB2A_9732282988_6,8/1/2024 8:43,8/1/2024 8:42,SGD,6e6e21bb-3adb-4ff8-8c52-85245deaba79,2.42,0.06,0.90%,0.022,0.02,,7/5/2024,
5d6db52207f040748cdfccd99cb8d8f1-1,Shopee SG,Approved,240108AV4PRB2A_4368691404_3,8/1/2024 8:43,8/1/2024 8:42,SGD,6e6e21bb-3adb-4ff8-8c52-85245deaba79,6.84,0.16,0.90%,0.062,0.057,,7/5/2024,
c8006a306b754226a72b66acd8b0d466-1,Shopee SG,Approved,240108AV4PRB2A_7438075655_5,8/1/2024 8:43,8/1/2024 8:42,SGD,6e6e21bb-3adb-4ff8-8c52-85245deaba79,4.76,0.11,0.90%,0.043,0.04,,7/5/2024,
bc4a0675460f4f9bb800d9b97009a0f9-1,Shopee SG,Approved,24010794C8KNKX_20086266609_2,7/1/2024 16:05,7/1/2024 16:04,SGD,60bb8407-e9d4-40b1-8499-f3fe13b89345,16.19,0.37,0.90%,0.146,0.136,,7/5/2024,
c51f8487c488447e8cafe229e9fb6fdf-1,Shopee SG,Approved,24010794C8KNKX_5219444924_1,7/1/2024 16:05,7/1/2024 16:04,SGD,60bb8407-e9d4-40b1-8499-f3fe13b89345,10.89,0.25,0.90%,0.098,0.091,,7/5/2024,
2f7d692d91ff4a00abdc6413213de8de-1,Shopee SG,Approved,2401078PRVBF6W_22261541578_1,7/1/2024 12:02,7/1/2024 11:40,SGD,b37b1e53-55dd-4beb-8033-2dd321acfdb9,1.23,0.03,0.90%,0.011,0.01,,7/5/2024,
0f246b361a514b30b6af850a3c177565-1,Shopee SG,Approved,2401078PRVBF6W_22261541578_3,7/1/2024 12:02,7/1/2024 11:40,SGD,b37b1e53-55dd-4beb-8033-2dd321acfdb9,1.05,0.02,0.90%,0.009,0.009,,7/5/2024,
77745902e2a7432d9001635a1674931a-1,Shopee SG,Approved,2401078PRVBF6W_22261541578_4,7/1/2024 12:02,7/1/2024 11:40,SGD,b37b1e53-55dd-4beb-8033-2dd321acfdb9,1.55,0.04,0.90%,0.014,0.013,,7/5/2024,
7a74f629ea5a428fa094d3d2d49c1529-1,Shopee SG,Approved,2401078PRVBF6W_22261541578_2,7/1/2024 12:02,7/1/2024 11:40,SGD,b37b1e53-55dd-4beb-8033-2dd321acfdb9,1.08,0.02,0.90%,0.01,0.009,,7/5/2024,
5f29369bf7724529994ff03e164158f4-1,Shopee SG,Approved,2401067AQJXNCC_1305235514_2,6/1/2024 22:54,6/1/2024 22:53,SGD,53801bf4-a5e4-478f-858d-fc1967d787a0,43.35,1.0,1.60%,0.694,0.645,,7/5/2024,
1db8a29a1b3743ba85e43807ef18ccbf-1,Shopee SG,Approved,2401066931BP9H_18450780328_1,6/1/2024 12:52,6/1/2024 12:38,SGD,67259004-cfe0-4234-aed8-85894351e0ca,19.91,0.46,1.60%,0.319,0.296,,7/5/2024,
5b638b5fd5164a878c5c3d0766ed499e-1,Shopee SG,Approved,2401066931BP9F_2335191844_1,6/1/2024 12:52,6/1/2024 12:38,SGD,67259004-cfe0-4234-aed8-85894351e0ca,2.81,0.06,1.60%,0.045,0.042,,7/5/2024,
e006ff11e85c4e55ab2091fda4fd6981-1,Shopee SG,Approved,2401066931BP9F_8302218204_3,6/1/2024 12:52,6/1/2024 12:38,SGD,67259004-cfe0-4234-aed8-85894351e0ca,3.89,0.09,1.60%,0.062,0.058,,7/5/2024,
d7dd143a963a4ac5ae963284a6d5757c-1,Shopee SG,Approved,2401066931BP9F_8135229306_2,6/1/2024 12:52,6/1/2024 12:38,SGD,67259004-cfe0-4234-aed8-85894351e0ca,1.52,0.03,1.60%,0.024,0.023,,7/5/2024,
8796054b03e64fc98d7d80279914bf19-1,Shopee SG,Approved,2401066931BP9J_22501000957_1,6/1/2024 12:52,6/1/2024 12:38,SGD,67259004-cfe0-4234-aed8-85894351e0ca,16.38,0.38,1.60%,0.262,0.244,,7/5/2024,
a32e07e2ff5a4861a992f4e63506a9b9-1,Shopee SG,Approved,2401065VNUTG7A_19118893461_1,6/1/2024 9:09,31/12/2023 09:35,SGD,95bddfef-43db-4bb0-946a-94204221c775,15.04,0.35,1.60%,0.241,0.224,,7/5/2024,
3125a40d79cf498795a146bf56091ebd-1,Shopee SG,Approved,2401054P29BP3U_4478467130_1,5/1/2024 21:38,5/1/2024 0:49,SGD,0d3c0f9d-3540-4a8f-9c7f-0ba1034413ed,5.7,0.13,1.60%,0.091,0.085,,7/5/2024,
9652d6ccaacc4402bd5302d04d2d62e4-1,Shopee SG,Approved,2401053D1PPMBW_23584562618_2,5/1/2024 9:24,5/1/2024 9:09,SGD,6e6e21bb-3adb-4ff8-8c52-85245deaba79,6.42,0.15,1.60%,0.103,0.096,,7/5/2024,
77330d9cc81040a2bdd946c4ba4006df-1,Shopee SG,Approved,2401053D1PPMBW_23923930159_3,5/1/2024 9:24,5/1/2024 9:09,SGD,6e6e21bb-3adb-4ff8-8c52-85245deaba79,7.34,0.17,1.60%,0.117,0.109,,7/5/2024,
df783ee675874023a5da83615709d9de-1,Shopee SG,Approved,2401053D1PPMBW_18251778250_4,5/1/2024 9:24,5/1/2024 9:09,SGD,6e6e21bb-3adb-4ff8-8c52-85245deaba79,19.22,0.44,1.60%,0.308,0.286,,7/5/2024,
ec075285b10845fea7d6ad585e6d8e29,Shopee SG,Approved,2401053D1PPMBW_23082329661_1,5/1/2024 9:24,5/1/2024 9:09,SGD,6e6e21bb-3adb-4ff8-8c52-85245deaba79,10.92,0.25,1.60%,0.175,0.162,,7/5/2024,
13175a53b27245efad935e64f3a700ba-1,Shopee SG,Approved,2401053AJ88468_4246206205_1,5/1/2024 8:40,5/1/2024 8:36,SGD,6e6e21bb-3adb-4ff8-8c52-85245deaba79,12.41,0.29,1.60%,0.199,0.185,,7/5/2024,
7521780db3484410a1661595c6976cec-1,Shopee SG,Approved,2401053AJ88468_6246234238_2,5/1/2024 8:40,5/1/2024 8:36,SGD,6e6e21bb-3adb-4ff8-8c52-85245deaba79,42.22,0.97,1.60%,0.676,0.628,,7/5/2024,
2d192555b1bb4133ac0f824178ddd485-1,Shopee SG,Approved,2401052F6Q71G9_22014877294_1,5/1/2024 0:30,4/1/2024 3:15,SGD,ef713528-f45d-4ee1-b697-73a521db1ab2,15.54,0.36,1.60%,0.249,0.231,,7/5/2024,
1974e112abbe4d2899004f00006328fd-1,Shopee SG,Approved,240104228GYJJ1_1449669966_1,4/1/2024 20:39,4/1/2024 19:48,SGD,febde91e-d7fb-47c9-b172-5c213a4a7049,22.21,0.51,1.60%,0.355,0.33,,7/5/2024,
bd5291d17ed442b98d9017f683950c13-1,Shopee SG,Approved,240104228GYJJ4_7856359230_2,4/1/2024 20:39,4/1/2024 19:48,SGD,febde91e-d7fb-47c9-b172-5c213a4a7049,20.39,0.47,1.60%,0.326,0.303,,7/5/2024,
dc0c7d8d173543c89361df36b8db1c5d-1,Shopee SG,Approved,240104228GYJJ6_19394084826_1,4/1/2024 20:39,4/1/2024 19:48,SGD,febde91e-d7fb-47c9-b172-5c213a4a7049,32.65,0.75,1.60%,0.522,0.486,,7/5/2024,
80c0a50e5cfd45edb9b5b00e4c64bdcf-1,Shopee SG,Approved,240104228GYJJ3_5078681605_1,4/1/2024 20:39,4/1/2024 19:48,SGD,febde91e-d7fb-47c9-b172-5c213a4a7049,15.26,0.35,1.60%,0.244,0.227,,7/5/2024,
78b7d64c0368497b8c1de05427c1c60c-1,Shopee SG,Approved,240104228GYJJ4_7856359230_1,4/1/2024 20:39,4/1/2024 19:48,SGD,febde91e-d7fb-47c9-b172-5c213a4a7049,5.61,0.13,1.60%,0.09,0.083,,7/5/2024,
9527d08f73b140bbad6b8ee355189352-1,Shopee SG,Approved,2401041Y7GU2WP_22571623985_1,4/1/2024 19:44,4/1/2024 19:43,SGD,72e8c4f1-c6aa-45ed-aec1-6c90f89e2bdd,48.9,1.12,1.60%,0.782,0.728,,7/5/2024,
d27328521b8747368bc06b3830305d28-1,Shopee SG,Approved,2401040C5B0M77_8108997796_1,4/1/2024 4:31,4/1/2024 3:15,SGD,ef713528-f45d-4ee1-b697-73a521db1ab2,15.25,0.35,1.60%,0.244,0.227,,7/5/2024,
195e732119f543fd9924b20e5bc00434-1,Shopee SG,Approved,240103VW95RT25_24554736264_1,3/1/2024 23:05,3/1/2024 23:02,SGD,67f9e4c8-6d76-4e8e-a483-f217b9a05c21,9,0.21,1.60%,0.144,0.134,,7/5/2024,
dc93a6dfa59a459ea7ee124b3373ed8a-1,Shopee SG,Approved,240103VW95RT22_8633799405_1,3/1/2024 23:05,3/1/2024 23:02,SGD,67f9e4c8-6d76-4e8e-a483-f217b9a05c21,7.64,0.18,1.60%,0.122,0.114,,7/5/2024,
fadc7a5b1c9f49a1bf06896d6e08e550-1,Shopee SG,Approved,240103VW95RT23_13253801802_1,3/1/2024 23:05,3/1/2024 23:02,SGD,67f9e4c8-6d76-4e8e-a483-f217b9a05c21,6.43,0.15,1.60%,0.103,0.096,,7/5/2024,
5604556cdcef4ad2908aaeb63a555f0b-1,Shopee SG,Approved,240103VW95RT24_14890157367_1,3/1/2024 23:05,3/1/2024 23:02,SGD,67f9e4c8-6d76-4e8e-a483-f217b9a05c21,9.9,0.23,1.60%,0.158,0.147,,7/5/2024,
1a0c173d57014afa94a70e1ab5c25651-1,Shopee SG,Approved,240103V6KPGWBG_10245150245_1,3/1/2024 16:19,3/1/2024 16:16,SGD,832ca456-56a1-4df3-bf20-8399bb5f14d9,31.3,0.72,1.60%,0.501,0.466,,7/5/2024,
625a038a61aa431ca9c3d550bff1a8e3-1,Shopee SG,Approved,240101QKQPACH6_11243853195_1,1/1/2024 20:31,30/12/2023 11:49,SGD,5f136ab6-450c-499f-a6dc-33f2b0e2688b,120.5,2.77,1.60%,1.928,1.793,,7/5/2024,
336001224,Lazada SG,Approved,1.15E+14,29/12/2023 19:23,29/12/2023 19:19,SGD,bcbedf9e-cb23-4450-831e-7590e267d17c,11.35,0.08,0.50%,0.057,0.053,,7/4/2024,
336001225,Lazada SG,Approved,1.15E+14,29/12/2023 19:23,29/12/2023 19:19,SGD,bcbedf9e-cb23-4450-831e-7590e267d17c,42.16,0.29,0.50%,0.211,0.196,,7/4/2024,
336001226,Lazada SG,Approved,1.15E+14,29/12/2023 19:23,29/12/2023 19:19,SGD,bcbedf9e-cb23-4450-831e-7590e267d17c,6.03,0.0,0.00%,0,0,,7/4/2024,
335772442,Lazada SG,Approved,1.14E+14,28/12/2023 21:13,25/12/2023 17:28,SGD,668e0839-8682-4201-a6cf-023da46b5533,22.25,0.62,2.00%,0.445,0.414,,7/4/2024,
335772744,Lazada SG,Approved,1.13E+14,28/12/2023 20:26,26/12/2023 22:19,SGD,1e0cde90-b0e9-41d2-a747-52ef8c2b791d,9.01,0.13,0.50%,0.045,0.042,,7/4/2024,
335772745,Lazada SG,Approved,1.13E+14,28/12/2023 20:26,26/12/2023 22:19,SGD,1e0cde90-b0e9-41d2-a747-52ef8c2b791d,8.99,0.25,2.00%,0.18,0.167,,7/4/2024,
ed5d5499f5cd499285f43b604682cb5d-1,Shopee SG,Approved,231230JBQ8M10J_20587924765_1,30/12/2023 18:24,29/12/2023 20:12,SGD,516fe2a5-1b1f-4581-8ed8-26f382683fe6,1.5,0.03,1.60%,0.024,0.022,,7/5/2024,
288559b762654165831bd64a281ab5c6-1,Shopee SG,Approved,231230JAKCDEH1_22477771886_1,30/12/2023 18:04,28/12/2023 23:55,SGD,6513335a-64ab-4d79-8bcc-aa36aed79c03,92.32,2.12,1.60%,1.477,1.374,,7/5/2024,
87b8af9490da41a7bbace5be2d74eeb4-1,Shopee SG,Approved,231230H7HTQGHP_19072568098_1,30/12/2023 07:37,26/12/2023 04:39,SGD,063ed50c-f0e1-4c63-97d8-bb44e878403f,4.43,0.1,1.60%,0.071,0.066,,7/5/2024,
b516fb60a8d144428d25a8c6277de5b2-1,Shopee SG,Approved,231230H7HTQGHN_15515339855_2,30/12/2023 07:37,26/12/2023 04:39,SGD,063ed50c-f0e1-4c63-97d8-bb44e878403f,1,0.02,1.60%,0.016,0.015,,7/5/2024,
278d8dd51dbc46c39bcf5b3867e55c60-1,Shopee SG,Approved,231230H7HTQGHN_15515339855_3,30/12/2023 07:37,26/12/2023 04:39,SGD,063ed50c-f0e1-4c63-97d8-bb44e878403f,0.99,0.02,1.60%,0.016,0.015,,7/5/2024,
2ab00696667748efab4e1c7e82da0a67-1,Shopee SG,Approved,231230H7HTQGHN_15515339855_1,30/12/2023 07:37,26/12/2023 04:39,SGD,063ed50c-f0e1-4c63-97d8-bb44e878403f,0.97,0.02,1.60%,0.016,0.014,,7/5/2024,
80b07124b7e842e5b7886ce4143a76fa-1,Shopee SG,Approved,231230H7HTQGHQ_21767199322_1,30/12/2023 07:37,26/12/2023 04:39,SGD,063ed50c-f0e1-4c63-97d8-bb44e878403f,2.77,0.06,1.60%,0.044,0.041,,7/5/2024,
7c8dcb2cc3a5459a946621706e106b83-1,Shopee SG,Approved,231229G69M1CN0_20305002192_2,29/12/2023 21:42,29/12/2023 21:40,SGD,d27dbfe3-69e1-4b21-b248-b4efa74d2812,15.4,0.35,1.60%,0.246,0.229,,7/5/2024,
f9a5440b4c394705bc8869ffd4f92db0-1,Shopee SG,Approved,231229G69M1CN0_20112711212_1,29/12/2023 21:42,29/12/2023 21:40,SGD,d27dbfe3-69e1-4b21-b248-b4efa74d2812,77.33,1.78,1.60%,1.237,1.151,,7/5/2024,
945a8203735e4a479ef67834630d3da7-1,Shopee SG,Approved,231229FTCHCGSU_3587657061_1,29/12/2023 18:08,29/12/2023 18:08,SGD,a641f590-feca-4596-b62a-3510be87a08a,21.6,0.5,1.60%,0.346,0.321,,7/5/2024,
d41845579d994af3b4e4b84509afa902-1,Shopee SG,Approved,231229FT7VK4TG_7194500143_1,29/12/2023 18:06,29/12/2023 01:59,SGD,1a92a485-2aeb-41f6-9d4d-da981983ba2e,11.44,0.26,1.60%,0.183,0.17,,7/5/2024,
8cffec5474b24b5abf38fc7fd63d2713-1,Shopee SG,Approved,231229FD12UBGC_13497438464_2,29/12/2023 14:09,27/12/2023 19:32,SGD,7f1025d6-8da3-42f5-a358-8285f8a124db,4.8,0.11,1.60%,0.077,0.071,,7/5/2024,
151bd80424c444f7b8f989e78c73a111-1,Shopee SG,Approved,231229FD12UBGB_12590987297_4,29/12/2023 14:09,27/12/2023 19:32,SGD,7f1025d6-8da3-42f5-a358-8285f8a124db,3.66,0.08,1.60%,0.059,0.054,,7/5/2024,
3c5f3fad287d448f82809cd98e394ce6-1,Shopee SG,Approved,231229FD12UBGB_12590987297_3,29/12/2023 14:09,27/12/2023 19:32,SGD,7f1025d6-8da3-42f5-a358-8285f8a124db,3.66,0.08,1.60%,0.059,0.054,,7/5/2024,
18802d2be8ba446a84551ed71be1d3c8-1,Shopee SG,Approved,231229FD12UBGB_12590987297_2,29/12/2023 14:09,27/12/2023 19:32,SGD,7f1025d6-8da3-42f5-a358-8285f8a124db,3.66,0.08,1.60%,0.059,0.054,,7/5/2024,
19c713c7e98b4340be0587b8fd172c73-1,Shopee SG,Approved,231229FD12UBGC_20931119844_8,29/12/2023 14:09,27/12/2023 19:32,SGD,7f1025d6-8da3-42f5-a358-8285f8a124db,1.95,0.04,1.60%,0.031,0.029,,7/5/2024,
06384d3a5e0b4738a751dd29dd867140-1,Shopee SG,Approved,231229FD12UBGC_20931119844_7,29/12/2023 14:09,27/12/2023 19:32,SGD,7f1025d6-8da3-42f5-a358-8285f8a124db,1.96,0.05,1.60%,0.031,0.029,,7/5/2024,
0d26e9fc41224e85ab6856c16c322b87-1,Shopee SG,Approved,231229FD12UBGC_20931119844_6,29/12/2023 14:09,27/12/2023 19:32,SGD,7f1025d6-8da3-42f5-a358-8285f8a124db,1.96,0.05,1.60%,0.031,0.029,,7/5/2024,
91b52a36aa86426ba3e912dfce49dcf4-1,Shopee SG,Approved,231229FD12UBGC_20931119844_5,29/12/2023 14:09,27/12/2023 19:32,SGD,7f1025d6-8da3-42f5-a358-8285f8a124db,1.38,0.03,1.60%,0.022,0.021,,7/5/2024,
339cf432ad6f425c99fe43910ec78b8a-1,Shopee SG,Approved,231229FD12UBGC_20931119844_4,29/12/2023 14:09,27/12/2023 19:32,SGD,7f1025d6-8da3-42f5-a358-8285f8a124db,1.96,0.05,1.60%,0.031,0.029,,7/5/2024,
ad8083fb56b94c12ba03ff611928161c-1,Shopee SG,Approved,231229FD12UBGC_13497438464_3,29/12/2023 14:09,27/12/2023 19:32,SGD,7f1025d6-8da3-42f5-a358-8285f8a124db,4.79,0.11,1.60%,0.077,0.071,,7/5/2024,
79743d3c53c94df8be3fb3e1b7edbfd4-1,Shopee SG,Approved,231229FD12UBGB_12590987297_5,29/12/2023 14:09,27/12/2023 19:32,SGD,7f1025d6-8da3-42f5-a358-8285f8a124db,3.77,0.09,1.60%,0.06,0.056,,7/5/2024,
8788513429bd4fdc82bf7824da910a62-1,Shopee SG,Approved,231229FD12UBGB_12590987297_1,29/12/2023 14:09,27/12/2023 19:32,SGD,7f1025d6-8da3-42f5-a358-8285f8a124db,3.77,0.09,1.60%,0.06,0.056,,7/5/2024,
17933aea21d44a1eb1735e0eb1eafdc9-1,Shopee SG,Approved,231229FD12UBGC_21331111924_1,29/12/2023 14:09,27/12/2023 19:32,SGD,7f1025d6-8da3-42f5-a358-8285f8a124db,11.78,0.27,1.60%,0.188,0.175,,7/5/2024,
d31a8b2e2fe541f4b4dfc9d67b9706a0-1,Shopee SG,Approved,231229FD12UBGF_21884122666_2,29/12/2023 14:09,27/12/2023 19:32,SGD,7f1025d6-8da3-42f5-a358-8285f8a124db,2.63,0.06,1.60%,0.042,0.039,,7/5/2024,
fb1330c200e7478bb7621e0fd02193c9-1,Shopee SG,Approved,231229FD12UBGF_21884122666_1,29/12/2023 14:09,27/12/2023 19:32,SGD,7f1025d6-8da3-42f5-a358-8285f8a124db,2.63,0.06,1.60%,0.042,0.039,,7/5/2024,
9ec4b82bac354997a799d1430dff63a1-1,Shopee SG,Approved,231229FD12UBGG_21892541167_3,29/12/2023 14:09,27/12/2023 19:32,SGD,7f1025d6-8da3-42f5-a358-8285f8a124db,5.12,0.12,1.60%,0.082,0.076,,7/5/2024,
ad28b9c473fa4cb8958dfa159fe703de-1,Shopee SG,Approved,231229FD12UBGG_21892541167_2,29/12/2023 14:09,27/12/2023 19:32,SGD,7f1025d6-8da3-42f5-a358-8285f8a124db,4.49,0.1,1.60%,0.072,0.067,,7/5/2024,
2a5424f0d888432d851212ddf87faf92-1,Shopee SG,Approved,231229FD12UBGG_21892541167_1,29/12/2023 14:09,27/12/2023 19:32,SGD,7f1025d6-8da3-42f5-a358-8285f8a124db,2.7,0.06,1.60%,0.043,0.04,,7/5/2024,
b3069f0dae8d4edc8e2fb4f1f1c8e13e,Shopee SG,Approved,231229FD12UBGE_20084926860_2,29/12/2023 14:09,27/12/2023 19:32,SGD,7f1025d6-8da3-42f5-a358-8285f8a124db,16.31,0.38,1.60%,0.261,0.243,,7/5/2024,
77303840dc364adcb805df4e71dd24e0,Shopee SG,Approved,231229FD12UBGE_20084926860_1,29/12/2023 14:09,27/12/2023 19:32,SGD,7f1025d6-8da3-42f5-a358-8285f8a124db,16.31,0.38,1.60%,0.261,0.243,,7/5/2024,
