date,transaction_date,cardholder_id,card_id,card_segment,offer_segment,transaction_id,transaction_currency,transaction_currency_code,transaction_amount,transaction_sales_channel,merchant_id,merchant_name,merchant_city,merchant_country,category_key,offer_id,offer_title,ruleset_id,redemption_limit,discount_type,percentage_value,minimum_spend,reward_every_transaction,reward_frequency,minimum_transactions,seg_total_transaction_count,seg_unique_user_count,casback_amount
"2024-05-25 10:45:00",2024-05-23T03:05:16,387e4dbf-6fd1-473a-a2c2-3f322f6dc916,3e3cbc1f-0102-ef11-a574-b8cef6052491,NEW,,304144111168010,AUD,36,230.00,E-COMMERCE,250,LSKD,Loganholme,Australia,"Fashion & Retail",306,"Spend $150 and get 10% Cashback",251,NULL,PERCENTAGE,10.0,150.00,YES,NULL,NULL,103,92,23.00
"2024-05-25 10:45:00",2024-05-22T10:30:57,313ae9da-bd11-45b0-a0bf-fd6fcffdd693,4c27b181-2f02-ef11-a574-b8cef6052491,,,584143378570312,AUD,36,94.97,E-COMMERCE,268,Glassons,"South Yarra",Australia,"Fashion & Retail",346,"Get 7% Cashback on All Purchases",298,NULL,PERCENTAGE,7.0,NULL,YES,NULL,NULL,115,112,6.64
"2024-05-25 10:15:00",2024-05-23T10:59:53,3a7242f6-95bf-47b3-818f-ccd1db5e738f,62fc0f6c-52a0-ed11-816b-f403433e0c0d,NEW,,304144395930905,AUD,36,170.75,E-COMMERCE,250,LSKD,Loganholme,Australia,"Fashion & Retail",306,"Spend $150 and get 10% Cashback",251,NULL,PERCENTAGE,10.0,150.00,YES,NULL,NULL,103,92,17.07
"2024-05-25 10:00:00",2024-05-22T00:51:14,9d7085c4-73e6-43e5-a3b9-db1f4409f053,b1cd94ad-ef01-ef11-a574-b8cef6052491,NEW,,464143030747249,AUD,36,117.43,IN-STORE,223,"Novo Shoes Instore",CHERMSIDE,Australia,"Fashion & Retail",284,"Spend $100 and get 15% Cashback",241,NULL,PERCENTAGE,15.0,100.00,YES,NULL,NULL,96,96,17.61
"2024-05-25 10:00:00",2024-05-22T23:53:58,2d79694f-f37f-4e80-a0ec-35698bb7f873,fd6cb240-f501-ef11-a574-b8cef6052491,NEW,,304143860381910,AUD,36,102.00,E-COMMERCE,210,"Sealife Sydney Australia",Sydney,Australia,Entertainment,285,"Get 5% Cashback on All Purchases",242,NULL,PERCENTAGE,5.0,NULL,YES,NULL,NULL,36,35,5.09
"2024-05-25 09:45:00",2024-05-23T00:07:52,5e2e54f4-14d6-41d3-867c-47fba62041b4,e2ba70ea-3302-ef11-a574-b8cef6052491,,,584144004721310,AUD,36,159.94,E-COMMERCE,268,Glassons,"South Yarra",Australia,"Fashion & Retail",346,"Get 7% Cashback on All Purchases",298,NULL,PERCENTAGE,7.0,NULL,YES,NULL,NULL,115,112,11.19
"2024-05-25 09:30:00",2024-05-23T00:35:14,31c3031a-fee5-49b6-bf80-4c880ac6c445,00ac2cfe-1902-ef11-a574-b8cef6052491,NEW,,584144021145504,AUD,36,44.34,E-COMMERCE,240,"Automotive Superstore","Castle Hill",Australia,Retailers,312,"Get 2% Cashback on All Purchases",257,NULL,PERCENTAGE,2.0,NULL,YES,NULL,NULL,87,86,0.88
"2024-05-25 09:15:00",2024-05-23T05:11:05,e0051fad-a77c-4dcd-8cf8-cb5bf8129cb8,7a0f1351-0802-ef11-a574-b8cef6052491,LOYAL,,584144186652277,AUD,36,180.00,E-COMMERCE,250,LSKD,Loganholme,Australia,"Fashion & Retail",306,"Spend $150 and get 10% Cashback",251,NULL,PERCENTAGE,10.0,150.00,YES,NULL,NULL,103,92,18.00
"2024-05-25 09:15:00",2024-05-23T09:32:42,ae1e1d5d-f2a6-4f45-9c90-09d0d2d2a96e,f5c6ca6f-0902-ef11-a574-b8cef6052491,,,304144343625461,AUD,36,41.95,E-COMMERCE,268,Glassons,"South Yarra",Australia,"Fashion & Retail",346,"Get 7% Cashback on All Purchases",298,NULL,PERCENTAGE,7.0,NULL,YES,NULL,NULL,115,112,2.93
"2024-05-25 09:15:00",2024-05-22T10:01:21,a4622fa6-790a-4b5d-8971-45e9bb9dc6b9,f23dff87-62d1-ee11-b58f-043f72dce669,NEW,,304143360818923,AUD,36,76.80,E-COMMERCE,210,"Sealife Sydney Australia",Sydney,Australia,Entertainment,285,"Get 5% Cashback on All Purchases",242,NULL,PERCENTAGE,5.0,NULL,YES,NULL,NULL,36,35,3.84
"2024-05-25 09:15:00",2024-05-23T08:03:56,481ea318-c78d-490d-98e4-ea23220a0234,86866ff7-0702-ef11-a574-b8cef6052491,LOYAL,,464144290368962,AUD,36,200.00,E-COMMERCE,250,LSKD,Loganholme,Australia,"Fashion & Retail",306,"Spend $150 and get 10% Cashback",251,NULL,PERCENTAGE,10.0,150.00,YES,NULL,NULL,103,92,20.00
"2024-05-25 08:45:00",2024-05-22T13:50:03,84163f6e-d50a-4ef9-ab70-643e293bb502,f36aa987-2f02-ef11-a574-b8cef6052491,NEW,,384143498035038,AUD,36,259.00,E-COMMERCE,266,Converse,Melbourne,Australia,"Fashion & Retail",337,"Get 5% Cashback on your 1st purchase",293,NULL,PERCENTAGE,5.0,NULL,NO,ONLY,1,35,35,12.95
"2024-05-25 08:45:00",2024-05-23T04:40:01,68ba3002-1bd1-41a9-921a-97f5c24d956e,f2bf80f5-0c0d-ef11-abbe-043f72dce83d,NEW,,584144168015415,AUD,36,24.99,E-COMMERCE,252,"Move with us","Burleigh Heads",Australia,"Health and Wellness",314,"Get 15% Cashback on All Purchases",259,NULL,PERCENTAGE,15.0,NULL,YES,NULL,NULL,38,38,3.74
"2024-05-25 08:30:00",2024-05-22T14:10:08,6e9641ab-e9e4-4dd6-8365-4b35b5cd572d,0a283911-3802-ef11-a574-b8cef6052491,NEW,,464143510086946,AUD,36,47.00,E-COMMERCE,233,Modibodi,Rozelle,Australia,Retailers,310,"Get 7% Cashback on your 1st purchase",255,NULL,PERCENTAGE,7.0,NULL,NO,ONLY,1,57,57,3.29
"2024-05-25 08:30:00",2024-05-23T07:20:36,22296d57-c023-41b6-9fac-752b2111df19,59a12d18-2302-ef11-a574-b8cef6052491,,,384144264369295,AUD,36,79.98,E-COMMERCE,268,Glassons,"South Yarra",Australia,"Fashion & Retail",346,"Get 7% Cashback on All Purchases",298,NULL,PERCENTAGE,7.0,NULL,YES,NULL,NULL,115,112,5.59
"2024-05-25 08:30:00",2024-05-23T11:44:31,055c4d9d-69ec-4a47-a9f9-8220e95aec8c,f13a0412-1502-ef11-a574-b8cef6052491,LAPSED,"NEW, LAPSED",464144422718221,AUD,36,17.00,E-COMMERCE,253,"ResMed Australia","Bella Vista",Australia,"Health and Wellness",318,"Get 7% Cashback on your 1st purchase",292,NULL,PERCENTAGE,7.0,NULL,NO,ONLY,1,4,4,1.19
"2024-05-25 08:15:00",2024-05-23T05:01:57,cd8ee85c-b2e9-4e14-9a83-60076b79f650,677a4d5b-1702-ef11-a574-b8cef6052491,,,464144181174037,AUD,36,7.23,E-COMMERCE,268,Glassons,"South Yarra",Australia,"Fashion & Retail",346,"Get 7% Cashback on All Purchases",298,NULL,PERCENTAGE,7.0,NULL,YES,NULL,NULL,115,112,0.50
"2024-05-25 08:00:00",2024-05-23T10:05:19,9cc3307c-6069-45b1-8e3e-012d34539b62,8d2c42a7-0b02-ef11-a574-b8cef6052491,NEW,,464144363191439,AUD,36,76.50,E-COMMERCE,265,"2XU Online",Cremorne,Australia,"Fashion & Retail",335,"Get 5% Cashback on your 1st purchase",293,NULL,PERCENTAGE,5.0,NULL,NO,ONLY,1,26,26,3.82
"2024-05-25 08:00:00",2024-05-23T01:06:22,94e65f18-142d-4793-bfed-101677fa2e8f,c936c24e-2402-ef11-a574-b8cef6052491,NEW,,384144039828333,AUD,36,118.92,IN-STORE,255,"Shoes & Sox",Shellharbour,Australia,"Fashion & Retail",325,"Get 5% Cashback on All Purchases",242,NULL,PERCENTAGE,5.0,NULL,YES,NULL,NULL,100,96,5.94
"2024-05-25 07:45:00",2024-05-23T00:54:01,cd933298-238a-4c1d-b9c3-b4af9627ec67,ac794bb7-d601-ef11-a574-b8cef6052491,NEW,,584144032412422,AUD,36,59.95,IN-STORE,255,"Shoes & Sox",Chermside,Australia,"Fashion & Retail",325,"Get 5% Cashback on All Purchases",242,NULL,PERCENTAGE,5.0,NULL,YES,NULL,NULL,100,96,2.99
"2024-05-25 07:30:00",2024-05-23T05:21:11,6347d988-221e-4183-88c0-33f640bc45a0,e853f9e8-1502-ef11-a574-b8cef6052491,,,464144192713871,AUD,36,56.93,E-COMMERCE,268,Glassons,"South Yarra",Australia,"Fashion & Retail",346,"Get 7% Cashback on All Purchases",298,NULL,PERCENTAGE,7.0,NULL,YES,NULL,NULL,115,112,3.98
"2024-05-25 07:30:00",2024-05-22T11:19:22,2678e368-ac3f-43ae-b459-2ad6a956a2c7,aecca65e-1b02-ef11-a574-b8cef6052491,NEW,,384143407621319,AUD,36,39.60,E-COMMERCE,214,"SEALIFE Melbourne Australia",Melbourne,Australia,Entertainment,290,"Get 5% Cashback on All Purchases",243,NULL,PERCENTAGE,5.0,NULL,YES,NULL,NULL,32,31,1.98
"2024-05-25 07:15:00",2024-05-23T09:26:12,93f7f34f-6026-4f25-a649-b2bec3a72003,29d652ac-1b02-ef11-a574-b8cef6052491,NEW,,584144339724462,AUD,36,105.00,E-COMMERCE,240,"Automotive Superstore","Castle Hill",Australia,Retailers,312,"Get 2% Cashback on All Purchases",257,NULL,PERCENTAGE,2.0,NULL,YES,NULL,NULL,87,86,2.10
"2024-05-25 07:00:00",2024-05-23T00:21:47,c6ab0971-f9c2-46a2-a250-c2a2a1d794b9,803d753c-3a02-ef11-a574-b8cef6052491,NEW,,304144013073326,AUD,36,119.95,IN-STORE,255,"Shoes & Sox",Northlakes,Australia,"Fashion & Retail",325,"Get 5% Cashback on All Purchases",242,NULL,PERCENTAGE,5.0,NULL,YES,NULL,NULL,100,96,5.99
"2024-05-25 07:00:00",2024-05-23T00:26:06,83560598-7877-47b7-82bf-312e9d3cda30,6b2ca0df-2d02-ef11-a574-b8cef6052491,,,584144015666995,AUD,36,37.94,E-COMMERCE,268,Glassons,"South Yarra",Australia,"Fashion & Retail",346,"Get 7% Cashback on All Purchases",298,NULL,PERCENTAGE,7.0,NULL,YES,NULL,NULL,115,112,2.65
"2024-05-25 06:45:00",2024-05-23T05:05:28,9c869052-e6df-48de-8c5d-5e76ae035a69,3e3203c0-1602-ef11-a574-b8cef6052491,,,384144183288058,AUD,36,46.94,E-COMMERCE,268,Glassons,"South Yarra",Australia,"Fashion & Retail",346,"Get 7% Cashback on All Purchases",298,NULL,PERCENTAGE,7.0,NULL,YES,NULL,NULL,115,112,3.28
"2024-05-25 06:45:00",2024-05-23T01:26:14,20493129-8bf0-461c-8333-c51fdd68344b,21bbf06e-fb01-ef11-a574-b8cef6052491,NEW,,584144051747930,AUD,36,66.40,E-COMMERCE,210,"Sealife Sydney Australia",Sydney,Australia,Entertainment,285,"Get 5% Cashback on All Purchases",242,NULL,PERCENTAGE,5.0,NULL,YES,NULL,NULL,36,35,3.32
