,uid,recency,frequency,monetary
300,VOXLAT0006010732021012185,14,1,184.57
301,VOXLAT0006010732021013746,201,3,314.98
302,VOXLAT0006010732021014132,303,2,160.05
303,VOXLAT0006010732021023489,9,2,87.75
304,VOXLAT0006010732021026763,89,1,52.18
305,VOXLAT0006010732021030484,104,5,243.54999999999998
306,VOXLAT0006010732021038305,174,2,6837.35
307,VOXLAT0006010732021041655,270,1,67.11
308,VOXLAT0006010732021043024,26,1,84.0
309,VOXLAT0006010732021049781,151,2,195.98
310,VOXLAT0006010732021051720,313,1,61.0
311,VOXLAT0006010732021052504,154,1,629.23
312,VOXLAT0006010732021054286,196,2,384.16999999999996
313,VOXLAT0006010732021058022,296,1,939.41
314,VOXLAT0006010732021058030,274,1,105.9
315,VOXLAT0006010732021061406,33,1,57.11
316,VOXLAT0006010732021070316,195,1,305.6
317,VOXLAT0006010732021073039,43,2,778.7
318,VOXLAT0006010732021074078,192,1,1329.3
319,VOXLAT0006010732021080406,76,16,982.52
320,VOXLAT0006010732021081081,256,2,299.99
321,VOXLAT0006010732021085694,243,3,209.97
322,VOXLAT0006010732021087310,216,1,118.99
323,VOXLAT0006010732021088052,257,10,731.99
324,VOXLAT0006010732021094522,215,1,196.0
325,VOXLAT0006010732021095545,251,1,47.0
326,VOXLAT0006010732021096667,232,2,1459.3899999999999
327,VOXLAT0006010732021102630,15,1,131.96
328,VOXLAT0006010732021104149,289,1,116.97
329,VOXLAT0006010732021105575,324,3,493.03999999999996
330,VOXLAT0006010732021108421,76,1,97.99
331,VOXLAT0006010732021112233,238,7,667.43
332,VOXLAT0006010732021121689,206,1,316.41
333,VOXLAT0006010732021126183,112,10,811.9
334,VOXLAT0006010732021126852,262,2,374.0
335,VOXLAT0006010732021130003,28,6,883.85
336,VOXLAT0006010732021130045,304,1,75.0
337,VOXLAT0006010732021130235,348,1,599.88
338,VOXLAT0006010732021133387,193,2,882.72
339,VOXLAT0006010732021133833,194,1,157.02
340,VOXLAT0006010732021135853,296,1,99.0
341,VOXLAT0006010732021138733,11,13,1485.77
342,VOXLAT0006010732021143972,294,1,100.97
343,VOXLAT0006010732021151538,349,2,379.07
344,VOXLAT0006010732021155661,226,1,323.86
345,VOXLAT0006010732021156453,48,1,154.97
346,VOXLAT0006010732021156669,93,1,41.97
347,VOXLAT0006010732021163244,327,2,164.98000000000002
348,VOXLAT0006010732021168813,298,1,287.56
349,VOXLAT0006010732021173060,261,1,200.0
350,VOXLAT0006010732021173326,263,1,415.77
351,VOXLAT0006010732021175214,32,1,437.96
352,VOXLAT0006010732021179869,156,8,651.89
353,VOXLAT0006010732021189504,145,1,142.87
354,VOXLAT0006010732021193290,308,2,664.37
355,VOXLAT0006010732021199685,153,2,606.69
356,VOXLAT0006010732021200970,66,1,219.17
357,VOXLAT0006010732021209922,75,2,240.97
358,VOXLAT0006010732021213387,91,9,576.29
359,VOXLAT0006010732021219442,150,1,531.6
360,VOXLAT0006010732021223071,153,2,399.9
361,VOXLAT0006010732021223170,288,2,335.82
362,VOXLAT0006010732021224491,260,2,101.46
363,VOXLAT0006010732021225514,324,1,111.6
364,VOXLAT0006010732021226256,279,2,620.0
365,VOXLAT0006010732021232841,210,1,230.94
366,VOXLAT0006010732021232999,339,1,227.48
367,VOXLAT0006010732021233583,350,1,114.99
368,VOXLAT0006010732021234409,146,1,135.97
369,VOXLAT0006010732021234482,308,1,57.95
370,VOXLAT0006010732021235414,207,19,2335.1800000000003
371,VOXLAT0006010732021241099,207,3,104.45
372,VOXLAT0006010732021243129,87,2,193.99
373,VOXLAT0006010732021243194,330,1,339.5
374,VOXLAT0006010732021247559,64,1,200.0
375,VOXLAT0006010732021249258,33,1,21.9
376,VOXLAT0006010732021261790,350,2,171.95000000000002
377,VOXLAT0006010732021262632,227,1,1081.16
378,VOXLAT0006010732021263374,326,1,557.97
379,VOXLAT0006010732021264844,25,2,582.1700000000001
380,VOXLAT0006010732021265676,198,1,430.93
381,VOXLAT0006010732021271617,269,1,557.0
382,VOXLAT0006010732021273936,19,1,290.0
383,VOXLAT0006010732021274660,115,2,264.99
384,VOXLAT0006010732021276301,239,4,216.1
385,VOXLAT0006010732021278067,274,1,49.95
386,VOXLAT0006010732021278208,338,2,83.57
387,VOXLAT0006010732021284743,94,2,996.14
388,VOXLAT0006010732021285534,203,2,106.72
389,VOXLAT0006010732021293561,334,1,14.99
390,VOXLAT0006010732021294692,327,1,64.99
391,VOXLAT0006010732021301109,351,1,359.9
392,VOXLAT0006010732021302636,218,1,216.87
393,VOXLAT0006010732021303741,142,1,190.33
394,VOXLAT0006010732021304525,25,1,203.9
395,VOXLAT0006010732021310621,218,1,82.44
396,VOXLAT0006010732021310803,177,2,160.0
397,VOXLAT0006010732021311405,264,1,190.34
398,VOXLAT0006010732021319325,171,1,138.61
399,VOXLAT0006010732021322139,85,6,1210.3600000000001
400,VOXLAT0006010732021323236,188,2,115.97999999999999
401,VOXLAT0006010732021324762,241,1,1306.56
402,VOXLAT0006010732021325181,75,3,182.0
403,VOXLAT0006010732021329621,9,3,592.83
404,VOXLAT0006010732021330058,87,1,869.0
405,VOXLAT0006010732021333821,121,1,235.89
406,VOXLAT0006010732021333912,75,4,1089.32
407,VOXLAT0006010732021341964,274,1,78.27
408,VOXLAT0006010732021343069,19,1,53.0
409,VOXLAT0006010732021348472,29,8,2026.81
410,VOXLAT0006010732021348761,288,1,64.0
411,VOXLAT0006010732021350585,79,3,186.94
412,VOXLAT0006010732021356749,139,4,1474.7
413,VOXLAT0006010732021369072,233,1,200.0
414,VOXLAT0006010732021379139,291,2,269.94
415,VOXLAT0006010732021380129,327,1,9.99
416,VOXLAT0006010732021381044,136,1,252.81
417,VOXLAT0006010732021383685,326,2,45.94
418,VOXLAT0006010732021392389,223,1,270.0
419,VOXLAT0006010732021396323,111,4,1086.44
420,VOXLAT0006010732021402543,340,1,119.96
421,VOXLAT0006010732021403673,182,1,161.37
422,VOXLAT0006010732021405025,177,1,50.0
423,VOXLAT0006010732021406510,339,1,36.0
424,VOXLAT0006010732021408284,43,1,89.97
425,VOXLAT0006010732021410256,126,5,967.51
426,VOXLAT0006010732021410470,252,1,137.39
427,VOXLAT0006010732021410710,77,1,189.99
428,VOXLAT0006010732021416246,215,2,624.49
429,VOXLAT0006010732021420248,113,1,327.72
430,VOXLAT0006010732021426575,9,42,6135.33
431,VOXLAT0006010732021427649,172,1,48.67
432,VOXLAT0006010732021428472,311,1,24.31
433,VOXLAT0006010732021429801,102,1,199.0
434,VOXLAT0006010732021434801,126,2,82.97999999999999
435,VOXLAT0006010732021440527,182,1,60.85
436,VOXLAT0006010732021440964,162,2,969.37
437,VOXLAT0006010732021443604,319,1,50.39
438,VOXLAT0006010732021444321,33,1,229.42
439,VOXLAT0006010732021444461,193,10,1514.8300000000002
440,VOXLAT0006010732021451623,93,1,163.0
441,VOXLAT0006010732021455152,289,1,90.97
442,VOXLAT0006010732021456937,188,1,510.71
443,VOXLAT0006010732021458719,106,5,1491.52
444,VOXLAT0006010732021460277,249,1,978.77
445,VOXLAT0006010732021462067,337,1,278.82
446,VOXLAT0006010732021462703,63,9,403.16999999999996
447,VOXLAT0006010732021464857,271,1,106.96
448,VOXLAT0006010732021464899,62,3,730.4
449,VOXLAT0006010732021465292,333,1,528.0
450,VOXLAT0006010732021465391,88,1,171.86
451,VOXLAT0006010732021466845,284,1,327.52
452,VOXLAT0006010732021467827,299,1,270.0
453,VOXLAT0006010732021469278,168,6,490.89
454,VOXLAT0006010732021469815,230,1,310.33
455,VOXLAT0006010732021473338,209,4,600.74
456,VOXLAT0006010732021473973,77,1,43.5
457,VOXLAT0006010732021479327,179,1,168.95
458,VOXLAT0006010732021481000,181,1,62.9
459,VOXLAT0006010732021481299,60,1,279.99
460,VOXLAT0006010732021482297,303,2,694.83
461,VOXLAT0006010732021484244,97,1,228.13
462,VOXLAT0006010732021484442,57,1,397.27
463,VOXLAT0006010732021486645,94,2,462.44
464,VOXLAT0006010732021487379,109,2,860.44
465,VOXLAT0006010732021487965,284,1,369.1
466,VOXLAT0006010732021493286,181,1,200.0
467,VOXLAT0006010732021494367,9,1,206.1
468,VOXLAT0006010732021494714,325,1,207.69
469,VOXLAT0006010732021499291,249,1,95.17
470,VOXLAT0006010732021499788,255,2,281.57
471,VOXLAT0006010732021509651,131,2,217.1
472,VOXLAT0006010732021515419,135,1,383.1
473,VOXLAT0006010732021524205,12,1,149.85
474,VOXLAT0006010732021524874,331,2,124.99
475,VOXLAT0006010732021525137,136,1,270.0
476,VOXLAT0006010732021529212,93,4,2549.17
477,VOXLAT0006010732021530061,15,4,1074.82
478,VOXLAT0006010732021530608,116,1,169.0
479,VOXLAT0006010732021533941,333,1,487.7
480,VOXLAT0006010732021537850,282,1,45.0
481,VOXLAT0006010732021538114,183,1,406.0
482,VOXLAT0006010732021541035,76,19,1671.8400000000001
483,VOXLAT0006010732021541381,272,1,67.45
484,VOXLAT0006010732021544443,154,1,213.59
485,VOXLAT0006010732021551257,240,2,243.82
486,VOXLAT0006010732021552628,278,1,25.98
487,VOXLAT0006010732021559664,86,4,46.17
488,VOXLAT0006010732021563658,120,1,48.37
489,VOXLAT0006010732021568319,323,1,364.0
490,VOXLAT0006010732021572352,155,1,182.09
491,VOXLAT0006010732021573616,131,1,44.99
492,VOXLAT0006010732021575306,258,1,500.22
493,VOXLAT0006010732021576932,78,1,39.9
494,VOXLAT0006010732021580538,71,1,32.46
495,VOXLAT0006010732021585677,163,1,486.26
496,VOXLAT0006010732021587004,282,1,44.99
497,VOXLAT0006010732021588556,77,10,457.67
498,VOXLAT0006010732021595577,294,1,39.99
499,VOXLAT0006010732021596948,155,1,127.2
500,VOXLAT0006010732021598969,342,1,167.99
501,VOXLAT0006010732021604064,33,1,91.08
502,VOXLAT0006010732021605889,343,2,178.37
503,VOXLAT0006010732021607968,149,1,200.0
504,VOXLAT0006010732021613040,70,1,17.49
505,VOXLAT0006010732021614972,310,1,27.73
506,VOXLAT0006010732021615748,300,1,1227.34
507,VOXLAT0006010732021617645,229,1,64.99
508,VOXLAT0006010732021617686,55,1,216.98
509,VOXLAT0006010732021617793,178,1,265.78
510,VOXLAT0006010732021626695,84,1,143.88
511,VOXLAT0006010732021638898,33,1,94.67
512,VOXLAT0006010732021641256,250,1,111.96
513,VOXLAT0006010732021641942,101,1,19.39
514,VOXLAT0006010732021642312,208,1,127.99
515,VOXLAT0006010732021643617,263,2,53.6
516,VOXLAT0006010732021644573,78,1,730.0
517,VOXLAT0006010732021646784,151,1,665.98
518,VOXLAT0006010732021648400,133,4,512.46
519,VOXLAT0006010732021649036,181,1,272.4
520,VOXLAT0006010732021653004,183,2,147.99
521,VOXLAT0006010732021654705,306,3,359.96999999999997
522,VOXLAT0006010732021659027,332,2,196.93
523,VOXLAT0006010732021660645,264,3,242.95000000000002
524,VOXLAT0006010732021662500,82,1,852.34
525,VOXLAT0006010732021662559,30,5,623.1600000000001
526,VOXLAT0006010732021666188,339,1,102.2
527,VOXLAT0006010732021670016,132,5,1225.6799999999998
528,VOXLAT0006010732021672228,62,5,1372.5700000000002
529,VOXLAT0006010732021672269,329,2,319.80999999999995
530,VOXLAT0006010732021672525,182,1,151.01
531,VOXLAT0006010732021673549,89,1,190.0
532,VOXLAT0006010732021675114,105,2,79.36
533,VOXLAT0006010732021680650,101,1,228.82
534,VOXLAT0006010732021680965,298,1,74.07
535,VOXLAT0006010732021684405,82,2,785.44
536,VOXLAT0006010732021685667,222,1,281.97
537,VOXLAT0006010732021690725,193,1,111.11
538,VOXLAT0006010732021697076,108,2,340.98
539,VOXLAT0006010732021697373,70,1,40.0
540,VOXLAT0006010732021697506,146,1,576.12
541,VOXLAT0006010732021701456,231,2,91.99000000000001
542,VOXLAT0006010732021704898,89,2,1018.6600000000001
543,VOXLAT0006010732021705143,142,1,135.97
544,VOXLAT0006010732021711414,76,1,330.0
545,VOXLAT0006010732021716686,279,2,620.0
546,VOXLAT0006010732021718484,86,1,116.9
547,VOXLAT0006010732021725398,76,1,190.0
548,VOXLAT0006010732021729705,152,1,272.97
549,VOXLAT0006010732021730646,250,1,202.57
550,VOXLAT0006010732021732485,66,1,102.65
551,VOXLAT0006010732021733871,149,1,311.64
552,VOXLAT0006010732021745826,113,6,713.33
553,VOXLAT0006010732021747046,341,1,31.03
554,VOXLAT0006010732021749372,254,1,43.96
555,VOXLAT0006010732021750107,39,2,809.9000000000001
556,VOXLAT0006010732021750909,142,4,472.61
557,VOXLAT0006010732021751337,95,1,68.8
558,VOXLAT0006010732021751808,268,2,272.23
559,VOXLAT0006010732021752731,224,1,614.95
560,VOXLAT0006010732021756609,350,1,54.99
561,VOXLAT0006010732021757763,344,3,1230.76
562,VOXLAT0006010732021769172,124,2,536.06
563,VOXLAT0006010732021772838,143,1,348.87
564,VOXLAT0006010732021774289,150,1,803.66
565,VOXLAT0006010732021774602,224,2,153.98
566,VOXLAT0006010732021779080,282,1,499.0
567,VOXLAT0006010732021780922,36,6,1335.1100000000001
568,VOXLAT0006010732021783330,91,7,541.6700000000001
